model,method,label,mass_bin,left_msun,right_msun,M0_mean_msun,M0_geomean_msun,n_halos_total,n_halos,selected_fraction,zhalf,zhalf_median,zhalf_q16,zhalf_q84,z_bk09_original,z_coco_hellwing16,dz_bk09_original,dz_coco_hellwing16
PL,gap_0,gap <= 0,18,251188643150.9582,398107170553.4973,311361926894.7476,308807100253.5306,106,101,0.9528301886792453,1.3292318213984728,1.400121587062098,0.6054477450276308,1.918636968891948,1.4239402915176425,1.1872863837897505,-0.09470847011916961,0.14194543760872236
PL,gap_0,gap <= 0,19,398107170553.4973,630957344480.1936,501824329004.5629,497943578184.7381,80,76,0.95,1.2317101821972105,1.1427572685276361,0.5158759358124068,1.816683806554755,1.3596723537697053,1.108862453441712,-0.1279621715724948,0.12284772875549854
PL,gap_0,gap <= 0,20,630957344480.1936,1000000000000.0,821457823228.7867,815468009106.649,53,50,0.9433962264150944,1.228830052956861,1.2419161744756297,0.7058672839899216,1.629184254292706,1.2951000108982895,1.030835224128475,-0.06626995794142854,0.19799482882838593
PL,gap_1,gap <= 1,1,100000000.0,158489319.24611133,125115645.6037737,124013957.7277467,111004,89938,0.8102230550250441,2.333429267325065,2.184157760641412,1.159490409401337,3.4884406828831396,2.7645591166006933,2.9782871007330503,-0.43112984927562836,-0.6448578334079853
PL,gap_1,gap <= 1,2,158489319.24611133,251188643.15095794,198178103.69590813,196390042.53951725,77426,66409,0.8577092966187069,2.3349799126276847,2.1924318342642226,1.208057383257791,3.451907699482395,2.66833113236813,2.8407470177109317,-0.33335121974044535,-0.5057671050832471
PL,gap_1,gap <= 1,3,251188643.15095794,398107170.5534973,315186950.2821891,312445976.4544491,51822,44648,0.8615645864690672,2.2749266495875062,2.1570584436539857,1.2139242485832529,3.301795214841456,2.5737434673291313,2.7068071426662588,-0.29881681774162505,-0.43188049307875254
PL,gap_1,gap <= 1,4,398107170.5534973,630957344.4801933,499076289.89621127,494633685.1427392,35056,30294,0.8641602008215427,2.2197327541525187,2.119241416142167,1.2032071954407513,3.195520928680489,2.4824586397741104,2.578744469563786,-0.2627258856215917,-0.3590117154112673
PL,gap_1,gap <= 1,5,630957344.4801933,999999999.9999999,790559887.0003158,783602919.7315798,23258,20190,0.8680883996904291,2.155212447709327,2.0720112625264697,1.1932947465137271,3.099167465625583,2.3934311171785057,2.455003171696656,-0.23821866946917858,-0.299790723987329
PL,gap_1,gap <= 1,6,999999999.9999999,1584893192.461114,1251039940.6812055,1240056703.7618601,15701,13744,0.8753582574358321,2.081011842968319,2.0176482031282212,1.1465456065524888,2.9650316049396066,2.3068644898550335,2.335793942736587,-0.22585264688671458,-0.25478209976826793
PL,gap_1,gap <= 1,7,1584893192.461114,2511886431.5095806,1979245884.8991811,1962341803.3859148,9949,8814,0.8859181827319329,2.0243631123403047,1.9554471384517862,1.122660733801322,2.8772366732199393,2.2225512267444136,2.2207590049557364,-0.19818811440410888,-0.19639589261543167
