model,model_label,snap_current,snap_next,z_current,z_next,z_mid,dt_yr,mass_bin_left_msun,mass_bin_right_msun,mass_bin_center_msun,n_halos,mean_mass_current_msun,median_mass_current_msun,mean_dM200c_dt_msun_yr,median_dM200c_dt_msun_yr,std_dM200c_dt_msun_yr,sem_dM200c_dt_msun_yr,p16_dM200c_dt_msun_yr,p84_dM200c_dt_msun_yr,negative_fraction,correa2015_mean_dMdt_msun_yr,mean_over_correa
PL,PL,25,26,17.551495663828796,15.864996058026179,16.708245860927487,33142246.615712106,100000000.0,316000000.0,177763888.34631178,247,233648742.8168295,225620996.20699883,6.411887808105301,5.545264440466935,4.38441757861233,0.27897380997941795,3.231368564873722,8.903307624464713,0.0,8.786334787557308,0.7297568284315139
PL,PL,25,26,17.551495663828796,15.864996058026179,16.708245860927487,33142246.615712106,316000000.0,1000000000.0,562138772.9022079,99,465946315.6654378,417914837.59880066,13.94365004789703,10.840018404723725,13.143448721812632,1.3209662988342052,6.824536627610913,19.238507089403125,0.0,17.52185897989138,0.7957859987287416
PL,PL,26,27,15.864996058026179,14.331814598205613,15.098405328115895,38233370.82707757,100000000.0,316000000.0,177763888.34631178,868,237904182.86271358,229287305.84681034,5.246413846933506,4.349978890986165,3.471318794161112,0.11782423726847885,2.626734813780767,7.6725653237087075,0.004608294930875576,7.037084731972669,0.7455379673199993
PL,PL,26,27,15.864996058026179,14.331814598205613,15.098405328115895,38233370.82707757,316000000.0,1000000000.0,562138772.9022079,427,472871665.4611415,422124341.13025665,10.050489410524762,8.281659082994045,6.466837100289745,0.31295218182174095,4.995223702301315,15.588952444667008,0.00234192037470726,13.98730336372166,0.7185437499405594
PL,PL,27,28,14.331814598205613,12.938013271096011,13.634913934650811,44105611.17019093,100000000.0,316000000.0,177763888.34631178,2244,236872074.2805783,230431677.77359486,3.953537216626097,3.240510628987238,2.8695111226937295,0.060575427279103145,1.8220634704858465,6.002593276294742,0.0071301247771836,5.5103420726204,0.7174758235555462
PL,PL,27,28,14.331814598205613,12.938013271096011,13.634913934650811,44105611.17019093,316000000.0,1000000000.0,562138772.9022079,1441,493097454.05094236,434386432.1708679,8.468883365093697,6.773177356056939,6.507333090347564,0.17142377201106415,3.7137897235263986,12.774225787992666,0.004857737682165163,11.47089902940786,0.7382929048004069
PL,PL,27,28,14.331814598205613,12.938013271096011,13.634913934650811,44105611.17019093,1000000000.0,3160000000.0,1777638883.4631178,134,1499772722.3741474,1361846551.2990952,24.921798190711485,19.81201528091878,19.82803639613566,1.7128814583899616,11.305621477067518,34.605368677205696,0.0,34.88913058479644,0.7143141079466051
PL,PL,28,29,12.938013271096011,11.670921155541825,12.304467213318919,50878301.841837466,100000000.0,316000000.0,177763888.34631178,5273,239352841.10896394,233638305.21702766,3.11799887891431,2.523114309594509,2.511185033459467,0.034581977879504906,1.3172900972845565,4.785721942326842,0.01194765787976484,4.378238381669956,0.7121583173653138
PL,PL,28,29,12.938013271096011,11.670921155541825,12.304467213318919,50878301.841837466,316000000.0,1000000000.0,562138772.9022079,3435,500498843.96088696,445505455.13629913,6.50139839437497,5.097447212877167,5.080824061939354,0.08669035587403473,2.695471013159898,10.141387103668224,0.006695778748180495,9.155116933052906,0.7101382147182456
PL,PL,28,29,12.938013271096011,11.670921155541825,12.304467213318919,50878301.841837466,1000000000.0,3160000000.0,1777638883.4631178,486,1502075118.9670446,1322989314.7945404,20.75973533929848,16.665012689689046,15.877250258598705,0.7202066972599832,8.985063093613341,30.623535661657378,0.00205761316872428,27.47593430494979,0.7555606702538452
