model,label,method,method_label,mass_bin,mass_bin_left_msun,mass_bin_right_msun,M0_mean_msun,M0_geomean_msun,snap_left,snap_right,z_left,z_right,z_mid,a_mid,n_halos,Gamma_median,Gamma_q16,Gamma_q84,Gamma_mean,negative_fraction,particle_mass_code,particle_mass_msun
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,129341240.82370862,128035491.56670372,25,26,17.551495663828796,15.86499605802618,16.68815709001258,0.0565350022001239,73,2.4801330999066185,0.9664944642792604,5.069361808549389,2.903574987694573,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,129255198.1084636,128101503.45963642,26,27,15.86499605802618,14.331814598205613,15.080142809102345,0.0621885024201363,220,2.092357376694791,0.4949310260160395,4.453912375180237,2.6011768311755827,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,130111448.46467568,128969467.36462528,27,28,14.331814598205613,12.938013271096011,13.618311644638496,0.06840735266215,607,1.9446888338088,0.4012527587582265,4.213073384888449,2.3674671407018915,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,129730512.17726132,128603427.51826777,28,29,12.938013271096011,11.670921155541825,12.289374222398628,0.075248087928365,1490,1.632710447276851,0.0,4.092474700593612,2.236191792933442,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,129616583.02402116,128474142.9990657,29,30,11.670921155541825,10.51901923231075,11.08124929308966,0.0827728967212015,3261,1.5827144416342935,0.0,3.697450727306624,1.996745381154636,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,129502035.23456818,128377099.69505592,30,31,10.51901923231075,9.471835665737045,9.98295390280878,0.0910501863933217,6549,1.4839989206632265,0.0,3.579641820617035,1.9090446544951607,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,129246735.3201811,128135881.55102284,31,32,9.471835665737045,8.519850605215494,8.984503548007982,0.1001552050326539,12304,1.3053319396970673,0.0,3.3046352870296705,1.7321575092949604,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,128863446.31762742,127754977.61499734,32,33,8.519850605215494,7.654409641104996,8.076821407279985,0.1101707255359193,20793,1.1648249572962086,0.0,3.182373100434965,1.63906724917265,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,128373196.46849307,127263347.58169542,33,34,7.654409641104996,6.867645128277267,7.251655824799986,0.1211877980895112,32159,1.1244324756408697,0.0,3.182373100434935,1.6281384677332231,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,1,100000000.0,158489319.24611133,127962052.22491229,126850088.17665932,34,35,6.867645128277267,6.152404662070242,6.501505295272713,0.1333065778984624,46644,1.011494922801346,0.0,2.9426608948551483,1.480877393904109,0.0,0.0001890437561087,1890437.5610873103
