model,model_label,snap_progenitor,snap_descendant,z_progenitor,z_descendant,dt_yr,mass_bin_left_msun,mass_bin_right_msun,mass_bin_center_msun,n_halos,mean_mass_descendant_msun,median_mass_descendant_msun,mean_mass_main_progenitor_msun,mean_dM200c_dt_msun_yr,median_dM200c_dt_msun_yr,std_dM200c_dt_msun_yr,sem_dM200c_dt_msun_yr,p16_dM200c_dt_msun_yr,p84_dM200c_dt_msun_yr,negative_fraction,multiple_progenitor_fraction,same_track_main_progenitor_fraction,correa2015_mean_dMdt_msun_yr,median_over_correa
PL,PL,24,25,19.40664523021168,17.551495663828796,28728585.555879116,316000000.0,1000000000.0,562138772.9022079,54,546302484.969298,491732489.31765556,274341069.8517605,9.466578665648315,8.424973044960812,4.453801950138684,0.6060856774029123,5.642326801915313,13.443444480514225,0.0,0.0,1.0,23.09606656853645,0.3647795619206463
PL,PL,25,26,17.551495663828796,15.864996058026179,33142246.615712106,316000000.0,1000000000.0,562138772.9022079,279,521068419.3131317,485596507.78770447,280648568.932194,7.254180839598219,6.432968255470435,3.278378920639802,0.19627141206657464,4.210376068070179,10.542455508431887,0.0,0.0,1.0,17.329234472094186,0.3712205675230286
PL,PL,26,27,15.864996058026179,14.331814598205613,38233370.82707757,100000000.0,316000000.0,177763888.34631178,127,284612232.4818702,287579987.1981144,210148448.66718832,1.9476123136374155,2.0744232701186522,0.761218410136991,0.0675472111322444,1.3009963145549726,2.6758849791156147,0.023622047244094488,0.0,1.0,7.444717204144719,0.27864366277925945
PL,PL,26,27,15.864996058026179,14.331814598205613,38233370.82707757,316000000.0,1000000000.0,562138772.9022079,1058,532679372.5920985,482909064.73994255,295084895.0273824,6.214322002611588,5.385194314794986,3.1360308052590846,0.09641341949602643,3.478077896617712,9.233166068709076,0.000945179584120983,0.0,1.0,13.933509655745459,0.38649230867503725
PL,PL,26,27,15.864996058026179,14.331814598205613,38233370.82707757,1000000000.0,3160000000.0,1777638883.4631178,137,1524939084.575124,1369518339.6339417,770357601.5349288,19.73620077740535,17.54963506156642,8.45857316059459,0.7226646753111453,12.499890077593866,27.01427480075364,0.0,0.0,1.0,39.888448009458955,0.4399678587997403
PL,PL,27,28,14.331814598205613,12.938013271096011,44105611.17019093,100000000.0,316000000.0,177763888.34631178,496,278834148.7757861,285107800.73702335,209316536.97193873,1.5761625325992852,1.6729092045680887,0.683897258415573,0.03070789341325308,0.9397819795021415,2.276014323994391,0.020161290322580645,0.0,1.0,5.735554566399925,0.2916734877510084
PL,PL,27,28,14.331814598205613,12.938013271096011,44105611.17019093,316000000.0,1000000000.0,562138772.9022079,2770,532982121.52095485,487629771.232605,311890680.75982237,5.012773542758624,4.366546898452903,2.5726928863060516,0.04888189807378539,2.6995534117571998,7.50574028411342,0.0018050541516245488,0.0,1.0,10.96332014683453,0.39828690943716244
PL,PL,27,28,14.331814598205613,12.938013271096011,44105611.17019093,1000000000.0,3160000000.0,1777638883.4631178,516,1500191400.044186,1324340030.5509567,800084951.9473639,15.873409970339418,13.957948187107906,7.729255999952708,0.3402615225190564,9.137927954914867,22.5251031043261,0.0,0.0,1.0,30.858593442642686,0.4523196500531285
PL,PL,28,29,12.938013271096011,11.670921155541825,50878301.841837466,100000000.0,316000000.0,177763888.34631178,1410,276159705.6602332,280945673.58493805,213755428.36831817,1.2265400973072524,1.3073371776187073,0.6368527354575331,0.01696014114628605,0.6299105916658306,1.8293463329182496,0.036170212765957444,0.0,1.0,4.466259215298882,0.292714129341286
PL,PL,28,29,12.938013271096011,11.670921155541825,50878301.841837466,316000000.0,1000000000.0,562138772.9022079,6388,527905220.16701514,479797814.0413761,322783830.4689248,4.031608412083792,3.5139235875471373,2.1918983852848886,0.027424452303168378,2.1409064053454627,6.073483735435777,0.0026612398246712585,0.00015654351909830932,1.0,8.537674056171447,0.4115785592689735
PL,PL,28,29,12.938013271096011,11.670921155541825,50878301.841837466,1000000000.0,3160000000.0,1777638883.4631178,1266,1550406805.9119945,1388838365.6740189,877017152.6119136,13.235301276237749,11.921258744049554,6.473434420904434,0.18193568903898516,7.390956120304456,19.101624526176693,0.0007898894154818325,0.0,1.0,25.074326711826576,0.47543684347172377
PL,PL,28,29,12.938013271096011,11.670921155541825,50878301.841837466,3160000000.0,10000000000.0,5621387729.0220785,137,4769762656.549468,4223508536.8156433,2554347267.9318304,43.54342241029536,39.405444456002634,21.04790606994137,1.7982439729757502,23.225058889842394,63.81225055773923,0.0,0.0,1.0,77.14013298454262,0.5108293560227426
PL,PL,29,30,11.670921155541825,10.51901923231075,58688735.33458358,100000000.0,316000000.0,177763888.34631178,3170,272475496.986264,276988036.93056107,216677153.81795675,0.9507504779273515,1.0033273842268629,0.5711247813334606,0.010143816252061226,0.381951282710628,1.5347485259014235,0.05993690851735016,0.0,1.0,3.4640113801894787,0.28964321248043406
PL,PL,29,30,11.670921155541825,10.51901923231075,58688735.33458358,316000000.0,1000000000.0,562138772.9022079,12107,535015979.74805397,487107411.02695465,340837787.60170937,3.3086109461950013,2.863552206260769,1.8950021509121997,0.01722231134099448,1.6760521300920588,5.053939686998293,0.005616585446435946,0.0,1.0,6.801717816570902,0.4210042644351326
PL,PL,29,30,11.670921155541825,10.51901923231075,58688735.33458358,1000000000.0,3160000000.0,1777638883.4631178,2613,1589868520.0354445,1414929330.3489685,939387265.5685769,11.08357934037058,9.860530966829385,5.776321381824153,0.11300083263787823,5.847217748349379,16.26110003878172,0.0007654037504783774,0.0,1.0,20.212175800473606,0.4878510391047725
