model,snapshot,redshift,log10_M_FOF_Msun,dn_dlog10M,poisson_err,source_file
BT_deep,0024,19.40664523,1.1250000000e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0024_fof_reed07_input.npz
BT_deep,0024,19.40664523,1.1416666667e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0024_fof_reed07_input.npz
BT_deep,0024,19.40664523,1.1583333333e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0024_fof_reed07_input.npz
BT_deep,0024,19.40664523,1.1750000000e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0024_fof_reed07_input.npz
BT_deep,0024,19.40664523,1.1916666667e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0024_fof_reed07_input.npz
BT_deep,0024,19.40664523,1.2083333333e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0024_fof_reed07_input.npz
BT_deep,0024,19.40664523,1.2250000000e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0024_fof_reed07_input.npz
BT_deep,0024,19.40664523,1.2416666667e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0024_fof_reed07_input.npz
BT_deep,0024,19.40664523,1.2583333333e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0024_fof_reed07_input.npz
BT_deep,0024,19.40664523,1.2750000000e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0024_fof_reed07_input.npz
BT_deep,0024,19.40664523,1.2916666667e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0024_fof_reed07_input.npz
BT_deep,0027,14.3318146,8.0754287210e+00,3.5286867958e+00,2.0350509452e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0027_fof_reed07_input.npz
BT_deep,0027,14.3318146,8.2428325006e+00,1.7602356337e+00,1.4373222012e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0027_fof_reed07_input.npz
BT_deep,0027,14.3318146,8.4083824358e+00,8.7542322922e-01,1.0136260488e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0027_fof_reed07_input.npz
BT_deep,0027,14.3318146,8.5753677649e+00,4.0842912424e-01,6.9235220740e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0027_fof_reed07_input.npz
BT_deep,0027,14.3318146,8.7421712302e+00,1.8790087009e-01,4.6960544644e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0027_fof_reed07_input.npz
BT_deep,0027,14.3318146,8.9080655961e+00,8.7554059391e-02,3.2055818684e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0027_fof_reed07_input.npz
BT_deep,0027,14.3318146,9.0697723398e+00,3.8260889224e-02,2.1190746651e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0027_fof_reed07_input.npz
BT_deep,0027,14.3318146,9.2445204944e+00,1.5374774504e-02,1.3433002855e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0027_fof_reed07_input.npz
BT_deep,0027,14.3318146,9.4065046735e+00,4.5772229440e-03,7.3294225958e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0027_fof_reed07_input.npz
