model,snapshot,redshift,reference_model,log10_M_FOF_Msun,dn_dlog10M,poisson_err,reed07_dndlog10M_interp,sim_over_reed07,sim_over_reed07_minus_1,ratio_err,residual_err,source_file
PL,0056,-2.2204460493e-16,Reed07_FOF,1.0248389895e+01,1.4165918188e-01,4.0774730031e-03,1.3479007962e-01,1.0509614824e+00,5.0961482359e-02,3.0250542285e-02,3.0250542285e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
PL,0056,-2.2204460493e-16,Reed07_FOF,1.0414444387e+01,9.8468975642e-02,3.3995265680e-03,9.6283599283e-02,1.0226972857e+00,2.2697285671e-02,3.5307431310e-02,3.5307431310e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
PL,0056,-2.2204460493e-16,Reed07_FOF,1.0583515148e+01,7.1709826123e-02,2.9010690401e-03,6.8399961348e-02,1.0483898632e+00,4.8389863240e-02,4.2413314027e-02,4.2413314027e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
PL,0056,-2.2204460493e-16,Reed07_FOF,1.0745917054e+01,5.1757828675e-02,2.4646585083e-03,4.9277888350e-02,1.0503256208e+00,5.0325620834e-02,5.0015505754e-02,5.0015505754e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
PL,0056,-2.2204460493e-16,Reed07_FOF,1.0911364335e+01,3.3801030971e-02,1.9917448509e-03,3.5299354007e-02,9.5755381146e-01,-4.2446188541e-02,5.6424399453e-02,5.6424399453e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
PL,0056,-2.2204460493e-16,Reed07_FOF,1.1080622107e+01,2.6993878901e-02,1.7799236648e-03,2.5101474117e-02,1.0753901853e+00,7.5390185261e-02,7.0909128944e-02,7.0909128944e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
PL,0056,-2.2204460493e-16,Reed07_FOF,1.1244301394e+01,1.8308891776e-02,1.4658845192e-03,1.8056272285e-02,1.0139906780e+00,1.3990677997e-02,8.1184227622e-02,8.1184227622e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
PL,0056,-2.2204460493e-16,Reed07_FOF,1.1414754592e+01,1.1267010324e-02,1.1499344258e-03,1.2814341000e-02,8.7925007803e-01,-1.2074992197e-01,8.9738085312e-02,8.9738085312e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
PL,0056,-2.2204460493e-16,Reed07_FOF,1.1580285239e+01,8.9197165063e-03,1.0231616541e-03,9.1848079766e-03,9.7113804981e-01,-2.8861950189e-02,1.1139717419e-01,1.1139717419e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
PL,0056,-2.2204460493e-16,Reed07_FOF,1.1743854147e+01,6.8071520706e-03,8.9382285632e-04,6.6083935517e-03,1.0300766771e+00,3.0076677076e-02,1.3525569404e-01,1.3525569404e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
PL,0056,-2.2204460493e-16,Reed07_FOF,1.1924161170e+01,5.5161404710e-03,8.0461178290e-04,4.5974406390e-03,1.1998285360e+00,1.9982853596e-01,1.7501297920e-01,1.7501297920e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
PL,0056,-2.2204460493e-16,Reed07_FOF,1.2066046670e+01,3.1688466536e-03,6.0984482282e-04,3.4557352802e-03,9.1698188565e-01,-8.3018114349e-02,1.7647324617e-01,1.7647324617e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0056_fof_reed07_input.npz
