model,dataset,fit,n_bins,n_halos,n_halos_total,selected_fraction,mean_dz,mae_dz,rms_dz,low_mass_n_bins_M_lt_1e9,low_mass_mean_dz_M_lt_1e9,low_mass_mae_dz_M_lt_1e9,resolved_n_bins_M_ge_1e9,resolved_mean_dz_M_ge_1e9,resolved_mae_dz_M_ge_1e9,resolved_max_abs_dz_M_ge_1e9
PL,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,BK09 original,20,329621,344271,0.9574463140955817,-0.05479876224981649,0.05479876224981649,0.06653682718107413,5,-0.06166199585958297,0.06166199585958297,15,-0.05251101771322765,0.05251101771322765,0.1276537003819533
PL,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,COCO/Hellwing16,20,329621,344271,0.9574463140955817,0.015079522842290785,0.12187241023799544,0.14792085299918672,5,-0.19706374845801927,0.19706374845801927,15,0.0857939466090608,0.09680863083132087,0.2066150130069259
BT_soft,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,BK09 original,20,473382,489807,0.9664663836980688,1.2940638849298576,1.2940638849298576,1.6212984241413857,5,2.7231458788270744,2.7231458788270744,15,0.8177032202974515,0.8177032202974515,1.9328987376411693
BT_soft,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,COCO/Hellwing16,20,473382,489807,0.9664663836980688,1.3638903718799364,1.3638903718799364,1.597990782473176,5,2.587675065773849,2.587675065773849,15,0.9559621405819653,0.9559621405819653,1.9039967981948047
BT_deep,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,BK09 original,20,491113,511501,0.9601408403893639,0.15185507231257359,0.211602673854724,0.3021720900196907,5,0.5525361035634697,0.5525361035634697,15,0.018294728562274855,0.09795819728514218,0.301791255215774
BT_deep,sameTrackId_rawAdjacent_noGap_noEnvelope_warrenFOF,COCO/Hellwing16,20,491113,511501,0.9601408403893639,0.22164882947137793,0.22164882947137793,0.25494864898866715,5,0.4169545268113904,0.4169545268113904,15,0.15654693035804046,0.15654693035804046,0.2726874563645607
