target_M0_msun,z,log10_1_plus_z,pl_median_M_msun_interpolated,bt_median_M_msun,pl_mass_fraction,bt_mass_fraction,bt_over_pl_mass_fraction
300000000.0,0.0,0.0,293639000.94892853,293639000.9489291,1.0,1.0,1.0
300000000.0,0.0631593780669188,0.02659837442600954,288075054.137728,291784219.2747771,0.9810517445120709,0.9936834627956164,1.0128756901500928
300000000.0,0.1694753158736106,0.06799105958423456,278804527.1936416,286220673.3307366,0.9494805740812781,0.9747365724777046,1.026599805289186
300000000.0,0.2864228474609716,0.10938374474245956,269537533.43718374,282512322.0433537,0.9179214360699427,0.9621076257935144,1.048137223935802
300000000.0,0.4150651322070684,0.1507764299006845,260274299.65480322,276950824.302368,0.8863751028088795,0.9431677107174753,1.064072882607626
300000000.0,0.5565716454277756,0.19216911505890963,251014999.1590703,273243885.8628245,0.8548421645213551,0.9305435755461796,1.0885560097134557
300000000.0,0.7122288099705543,0.23356180021713496,241759895.60436448,267684580.88517952,0.8233235190934763,0.9116111280181625,1.1072331919072294
300000000.0,0.8834516909676096,0.27495448537535994,228810235.94973022,262126637.2804069,0.7792229070740037,0.8926833167028689,1.1456071280744444
300000000.0,1.0717968600643704,0.31634717053358496,215870036.17319417,254718224.0250488,0.7351545110683018,0.8674536529612783,1.1799610012604342
300000000.0,1.2789765460708074,0.35773985569181,202940205.80365652,247312442.72542843,0.6911214285153936,0.8422329524559378,1.2186468509088897
300000000.0,1.506874200677888,0.399132540850035,188177253.53042024,239909398.027181,0.6408455720197371,0.8170215715619705,1.2749117841088984
300000000.0,1.757561620745676,0.44052522600825994,173431024.6443637,230659624.85129887,0.5906266677243186,0.7855210789639492,1.3299790237893554
300000000.0,2.0333177828202462,0.48191791116648536,156864322.17832625,221414633.5639678,0.5342080638859312,0.7540368712890327,1.4115040978678324
300000000.0,2.3366495611022704,0.5233105963247103,142161760.9763957,212174700.2433321,0.48413787173019746,0.7225698887329834,1.4924878447345686
300000000.0,2.670314517212497,0.5647032814829354,125652384.10962911,201093990.64036617,0.42791449263745224,0.6848340649249834,1.6003993244164427
300000000.0,3.0373459689337468,0.6060959666411604,112838579.32402414,190021747.0073309,0.38427654010323276,0.6471270723345782,1.6840139972133943
300000000.0,3.4410805658271224,0.6474886517993855,98228906.28512737,178958761.80905715,0.3345226825036499,0.6094516097341661,1.8218543662656315
300000000.0,3.885188622409834,0.6888813369576106,87300808.2141706,166064872.3285408,0.2973065837032816,0.5655409253943876,1.902214604029118
300000000.0,4.373707484650818,0.7302740221158356,76403114.71281162,155025226.56903154,0.26019402894678867,0.5279449462368733,2.029043281177069
300000000.0,4.9110782331159015,0.7716667072740607,67349771.51368964,142161760.97639546,0.22936248691774944,0.4841378717301958,2.1107979697822605
300000000.0,5.502186056427491,0.8130593924322858,61932306.72682302,129317997.85796969,0.21091308214059296,0.44039789483026204,2.0880539526547546
300000000.0,6.152404662070242,0.8544520775905109,54729037.528500825,118327049.5460298,0.18638204513582182,0.40296775688393566,2.1620524476501037
