model,M0_msun,z,M_over_M0,M_msun,alpha,beta,f_M0,a_article
Correa2015a_article_formula_project_bt,293639000.9489291,0.0,1.0,293639000.9489291,0.05328740816683394,-0.18225293604999165,0.18225293604999165,0.2923816171181862
Correa2015a_article_formula_project_bt,293639000.9489291,0.02,0.9974135226739264,292879510.33092374,0.05328740816683394,-0.18225293604999165,0.18225293604999165,0.2923816171181862
Correa2015a_article_formula_project_bt,293639000.9489291,0.04,0.9948133500680996,292115998.244654,0.05328740816683394,-0.18225293604999165,0.18225293604999165,0.2923816171181862
Correa2015a_article_formula_project_bt,293639000.9489291,0.06,0.9922003989069733,291348733.87617254,0.05328740816683394,-0.18225293604999165,0.18225293604999165,0.2923816171181862
Correa2015a_article_formula_project_bt,293639000.9489291,0.08,0.9895755348489561,290577971.4165496,0.05328740816683394,-0.18225293604999165,0.18225293604999165,0.2923816171181862
Correa2015a_article_formula_project_bt,293639000.9489291,0.1,0.9869395761278204,289803951.1311327,0.05328740816683394,-0.18225293604999165,0.18225293604999165,0.2923816171181862
Correa2015a_article_formula_project_bt,293639000.9489291,0.12,0.9842932968728304,289026900.33446556,0.05328740816683394,-0.18225293604999165,0.18225293604999165,0.2923816171181862
Correa2015a_article_formula_project_bt,293639000.9489291,0.14,0.9816374301411867,288247034.2807322,0.05328740816683394,-0.18225293604999165,0.18225293604999165,0.2923816171181862
Correa2015a_article_formula_project_bt,293639000.9489291,0.16,0.978972670692346,287464556.9784054,0.05328740816683394,-0.18225293604999165,0.18225293604999165,0.2923816171181862
Correa2015a_article_formula_project_bt,293639000.9489291,0.18,0.9762996775302835,286679661.93675405,0.05328740816683394,-0.18225293604999165,0.18225293604999165,0.2923816171181862
Correa2015a_article_formula_project_bt,293639000.9489291,0.2,0.9736190762367246,285892532.85097104,0.05328740816683394,-0.18225293604999165,0.18225293604999165,0.2923816171181862
Correa2015a_article_formula_project_bt,293639000.9489291,0.22,0.9709314611157568,285103344.2319148,0.05328740816683394,-0.18225293604999165,0.18225293604999165,0.2923816171181862
Correa2015a_article_formula_project_bt,293639000.9489291,0.24,0.9682373971679202,284312261.9857795,0.05328740816683394,-0.18225293604999165,0.18225293604999165,0.2923816171181862
Correa2015a_article_formula_project_bt,293639000.9489291,0.26,0.9655374219098913,283519443.9484251,0.05328740816683394,-0.18225293604999165,0.18225293604999165,0.2923816171181862
Correa2015a_article_formula_project_bt,293639000.9489291,0.28,0.9628320470541032,282725040.37857914,0.05328740816683394,-0.18225293604999165,0.18225293604999165,0.2923816171181862
Correa2015a_article_formula_project_bt,293639000.9489291,0.3,0.960121760061123,281929194.41367555,0.05328740816683394,-0.18225293604999165,0.18225293604999165,0.2923816171181862
Correa2015a_article_formula_project_bt,293639000.9489291,0.32,0.9574070255762461,281132042.4916947,0.05328740816683394,-0.18225293604999165,0.18225293604999165,0.2923816171181862
Correa2015a_article_formula_project_bt,293639000.9489291,0.34,0.9546882867605762,280333714.7420203,0.05328740816683394,-0.18225293604999165,0.18225293604999165,0.2923816171181862
Correa2015a_article_formula_project_bt,293639000.9489291,0.36,0.9519659665258158,279534335.3480222,0.05328740816683394,-0.18225293604999165,0.18225293604999165,0.2923816171181862
Correa2015a_article_formula_project_bt,293639000.9489291,0.38,0.9492404686810527,278734022.8837975,0.05328740816683394,-0.18225293604999165,0.18225293604999165,0.2923816171181862
Correa2015a_article_formula_project_bt,293639000.9489291,0.4,0.9465121789990117,277932890.6272637,0.05328740816683394,-0.18225293604999165,0.18225293604999165,0.2923816171181862
Correa2015a_article_formula_project_bt,293639000.9489291,0.42,0.9437814662085026,277131046.85158014,0.05328740816683394,-0.18225293604999165,0.18225293604999165,0.2923816171181862
