target_M0_msun,selection_width_dex,n_halos,median_M0_Msun,p16_M0_Msun,p84_M0_Msun,min_M0_Msun,max_M0_Msun,selection_source,mass_dataset,mass_correction
300000000.0,0.1,54183,293639000.9489291,254718224.02504882,347480023.6177631,239909398.027181,377223259.7464575,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5,InputHalos/FOF/Masses,warren
1000000000.0,0.1,19064,978689920.0916836,847639618.4795092,1154822527.9381032,795252155.4130645,1257943870.3943977,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5,InputHalos/FOF/Masses,warren
3000000000.0,0.1,7100,2941507730.128443,2544634317.2889566,3466517522.77906,2384808982.233615,3775226635.810155,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5,InputHalos/FOF/Masses,warren
10000000000.0,0.1,2441,9698784587.074734,8401376473.847023,11549516971.44773,7945090827.375959,12581059622.24564,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5,InputHalos/FOF/Masses,warren
30000000000.0,0.1,878,29268746206.005985,25256016313.021996,34518731932.482796,23835130823.469162,37766099393.474045,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5,InputHalos/FOF/Masses,warren
100000000000.0,0.1,307,100154231575.92804,85222369713.34393,117434012218.82706,79438562044.46083,125708453012.1612,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5,InputHalos/FOF/Masses,warren
300000000000.0,0.1,105,302039658519.0502,260488458012.05206,351204619841.0602,240563561186.3411,376038834548.89514,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5,InputHalos/FOF/Masses,warren
