model,target_M0_msun,selection_width_dex,z,n_halos,n_positive_mass,median_M0_Msun,median_M_main_over_M0,p16_M_main_over_M0,p84_M_main_over_M0,median_M_msun,p16_M_msun,p84_M_msun
PL_new_SOAP_direct_raw,300000000.0,0.1,0.0,76536,76536,293639000.9489291,1.0,1.0,1.0,293639000.9489291,254718224.02504882,347480023.6177631
PL_new_SOAP_direct_raw,300000000.0,0.1,0.06315937806691885,76536,71899,293639000.9489291,0.9926244936101556,0.9512276124021604,1.0284710447408911,291784219.2747771,249163636.42882627,345621896.58083546
PL_new_SOAP_direct_raw,300000000.0,0.1,0.16947531587361064,76536,69401,293639000.9489291,0.9763607579801282,0.9180996089126416,1.0269542446026616,286220673.3307366,243610570.2926401,341905948.32484627
PL_new_SOAP_direct_raw,300000000.0,0.1,0.2864228474609716,76536,69695,293639000.9489291,0.9611346034699582,0.8848633942602451,1.026461277821234,282512322.0433537,238059062.04459298,340048128.8323751
PL_new_SOAP_direct_raw,300000000.0,0.1,0.4150651322070684,76536,70698,293639000.9489291,0.945390329409253,0.8557303745612568,1.026461277821234,276950824.302368,230659624.85129887,338190413.601229
PL_new_SOAP_direct_raw,300000000.0,0.1,0.5565716454277756,76536,71528,293639000.9489291,0.928306242872266,0.8273166407053941,1.031263026867108,273243885.8628245,225112039.16566187,336332803.52492267
PL_new_SOAP_direct_raw,300000000.0,0.1,0.7122288099705543,76536,72046,293639000.9489291,0.9095654876961252,0.7958331225570056,1.0348547605385747,267684580.88517952,219566233.8347936,332617902.4736825
PL_new_SOAP_direct_raw,300000000.0,0.1,0.8834516909676096,76536,72609,293639000.9489291,0.888631410014017,0.7614094264357012,1.0341489996764917,262126637.28040692,210327355.92321134,328903433.08140916
PL_new_SOAP_direct_raw,300000000.0,0.1,1.0717968600643704,76536,73064,293639000.9489291,0.8650086448897325,0.7236140642051763,1.0280760999463052,254718224.02504882,202940205.80365622,325189367.36211973
PL_new_SOAP_direct_raw,300000000.0,0.1,1.2789765460708074,76536,73505,293639000.9489291,0.8399222647316211,0.6840566552290565,1.0198188256023564,247312442.72542843,191866497.38813382,319619163.043153
PL_new_SOAP_direct_raw,300000000.0,0.1,1.506874200677888,76536,73762,293639000.9489291,0.8133379268980236,0.6439142685388848,1.0064376131645838,239909398.027181,182645353.898241,314049992.19964784
PL_new_SOAP_direct_raw,300000000.0,0.1,1.7575616207456761,76536,74156,293639000.9489291,0.7851162805745796,0.5997489994058174,0.9874457842310569,230659624.85129887,171589030.6430127,306626088.42770153
PL_new_SOAP_direct_raw,300000000.0,0.1,2.0333177828202462,76536,74498,293639000.9489291,0.7540368712890327,0.5561201025510949,0.9628587921805807,221414633.5639678,160543559.542252,299204144.6583456
PL_new_SOAP_direct_raw,300000000.0,0.1,2.3366495611022704,76536,74847,293639000.9489291,0.7212723289127159,0.5138059379704236,0.9359311684160533,212174700.24333212,149510073.3793579,289929569.89863366
PL_new_SOAP_direct_raw,300000000.0,0.1,2.670314517212497,76536,75078,293639000.9489291,0.685542878390722,0.4722049561685758,0.9029784809106097,201093990.64036617,136654719.28922272,278804527.1936411
PL_new_SOAP_direct_raw,300000000.0,0.1,3.0373459689337468,76536,75336,293639000.9489291,0.6479841988676693,0.43143005072739915,0.8716947564525768,190021747.00733086,125652384.10962927,267684580.88517952
PL_new_SOAP_direct_raw,300000000.0,0.1,3.4410805658271224,76536,75462,293639000.9489291,0.6090980544783674,0.39308359859159475,0.8317770156765847,178958761.80905715,114667514.36097187,256570082.41103494
PL_new_SOAP_direct_raw,300000000.0,0.1,3.885188622409834,76536,75566,293639000.9489291,0.5689227977446324,0.35702353862275144,0.7921759298678052,166064872.3285408,103702746.6261076,243610570.2926401
PL_new_SOAP_direct_raw,300000000.0,0.1,4.373707484650818,76536,75484,293639000.9489291,0.5253773050284547,0.3223997898087748,0.7513486887831288,155025226.56903154,94583158.94036606,230659624.85129887
PL_new_SOAP_direct_raw,300000000.0,0.1,4.9110782331159015,76536,75233,293639000.9489291,0.4825983160942426,0.29064779794287293,0.705516006957483,142161760.97639546,85482251.45969395,215870036.17319438
PL_new_SOAP_direct_raw,300000000.0,0.1,5.502186056427491,76536,74779,293639000.9489291,0.4405641068405642,0.2606039382149554,0.6616022243181626,129317997.85796969,76403114.71281162,201093990.64036617
PL_new_SOAP_direct_raw,300000000.0,0.1,6.152404662070242,76536,74091,293639000.9489291,0.3984363679535261,0.23236698097825095,0.6122512908774231,118327049.5460298,67349771.51368964,186333020.84629923
PL_new_SOAP_direct_raw,300000000.0,0.1,6.867645128277267,76536,72854,293639000.9489291,0.35826121062810834,0.20828483633487427,0.5656107917420615,105528680.48777807,60129220.0520757,171589030.6430127
PL_new_SOAP_direct_raw,300000000.0,0.1,7.654409641104996,76536,71009,293639000.9489291,0.3208500425158467,0.18588783679237944,0.5193032914285569,94583158.94036606,54729037.5285008,156864322.17832592
PL_new_SOAP_direct_raw,1000000000.0,0.1,0.0,27144,27144,978689920.0916836,1.0,1.0,1.0,978689920.0916836,845768292.1981893,1154822527.9381032
PL_new_SOAP_direct_raw,1000000000.0,0.1,0.06315937806691885,27144,25851,978689920.0916836,0.9901172734880739,0.9614879493572283,1.0166057138487803,965580146.7768713,828927491.081066,1147324524.0517633
PL_new_SOAP_direct_raw,1000000000.0,0.1,0.16947531587361064,27144,25043,978689920.0916836,0.97227280200336,0.9271755645253104,1.0106660131494436,946853628.8338343,810217871.6210837,1130454850.185389
