model,k_hMpc,P_k_Mpc_over_h_cubed,source_file
PL,1.3212909670e-04,8.9901593390e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.3345038770e-04,9.0768333300e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.3478489150e-04,9.1643418120e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.3613274040e-04,9.2526927860e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.3749406790e-04,9.3418943300e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.3886900850e-04,9.4319545960e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.4025769860e-04,9.5228818170e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.4166027560e-04,9.6146842990e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.4307687840e-04,9.7073704300e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.4450764710e-04,9.8009486760e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.4595272360e-04,9.8954275830e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.4741225090e-04,9.9908157780e-05,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.4888637340e-04,1.0087121970e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.5037523710e-04,1.0184354950e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.5187898950e-04,1.0282523590e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.5339777940e-04,1.0381636840e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.5493175720e-04,1.0481703760e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.5648107470e-04,1.0582733460e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.5804588550e-04,1.0684735150e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,1.5962634430e-04,1.0787718150e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
