model,target_mass_msun,bin_index,r_over_r200m,rho_msun_kpc3_median,rho_msun_kpc3_p16_bootstrap_median,rho_msun_kpc3_p84_bootstrap_median,nhalo,n_bootstrap,power_radius_over_r200m,kappa_threshold,reference_overdensity_crit,source_cache
BT_deep,31622776601.6838,18,0.7079457844,2897.585376,2853.416409,2978.157105,100,160,0.04215752574,0.6,63,BTdeep_M3e+10_N100_B160_all.npz
BT_deep,31622776601.6838,19,0.8912509381,1439.796823,1417.776997,1475.632051,100,160,0.04215752574,0.6,63,BTdeep_M3e+10_N100_B160_all.npz
BT_deep,100000000000,0,0.01122018454,7662218.109,5764478.724,9274777.893,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,100000000000,1,0.01412537545,7492929.792,6187262.383,8374903.338,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,100000000000,2,0.0177827941,7922301.591,6171082.425,8789120.683,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,100000000000,3,0.02238721139,7290060.339,5950793.463,7934312.663,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,100000000000,4,0.02818382931,6160115.759,5702387.114,6309786.305,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,100000000000,5,0.03548133892,4272212.362,4158783.057,4526210.494,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,100000000000,6,0.04466835922,2903343.219,2847899.954,2949617.724,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,100000000000,7,0.05623413252,1848516.302,1804664.469,1902410.754,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,100000000000,8,0.07079457844,1152889.65,1145541.6,1189700.325,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,100000000000,9,0.08912509381,706700.59,696623.431,725353.1641,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,100000000000,10,0.1122018454,424607.9036,420671.2744,429017.6498,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,100000000000,11,0.1412537545,241793.7803,239213.6271,242884.5623,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,100000000000,12,0.177827941,138463.6617,137838.5792,140954.5982,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,100000000000,13,0.2238721139,78524.76917,77325.01202,80136.75515,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,100000000000,14,0.2818382931,42858.75382,42634.27632,43163.67591,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,100000000000,15,0.3548133892,22979.60408,22666.78387,23268.92048,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,100000000000,16,0.4466835922,11883.41248,11706.47084,12172.26,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,100000000000,17,0.5623413252,6002.672554,5922.395104,6240.700938,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,100000000000,18,0.7079457844,3013.707544,2963.856834,3099.994305,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,100000000000,19,0.8912509381,1502.513394,1471.451148,1561.357059,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,316227766016.838,0,0.01122018454,6574218.684,5563779.06,7039031.039,98,160,0.01907812377,0.6,63,BTdeep_M3e+11_N100_B160_all.npz
BT_deep,316227766016.838,1,0.01412537545,6162018.796,5375328.207,7296810.392,98,160,0.01907812377,0.6,63,BTdeep_M3e+11_N100_B160_all.npz
BT_deep,316227766016.838,2,0.0177827941,6327109.454,5655389.282,7357585.034,98,160,0.01907812377,0.6,63,BTdeep_M3e+11_N100_B160_all.npz
BT_deep,316227766016.838,3,0.02238721139,6484951.832,5554475.596,7115520.024,98,160,0.01907812377,0.6,63,BTdeep_M3e+11_N100_B160_all.npz
BT_deep,316227766016.838,4,0.02818382931,5794325.406,5558202.428,6069374.694,98,160,0.01907812377,0.6,63,BTdeep_M3e+11_N100_B160_all.npz
BT_deep,316227766016.838,5,0.03548133892,4174462.588,4101239.715,4397538.416,98,160,0.01907812377,0.6,63,BTdeep_M3e+11_N100_B160_all.npz
BT_deep,316227766016.838,6,0.04466835922,2800498.079,2679053.541,2886983,98,160,0.01907812377,0.6,63,BTdeep_M3e+11_N100_B160_all.npz
BT_deep,316227766016.838,7,0.05623413252,1801087.35,1756205.885,1820415.811,98,160,0.01907812377,0.6,63,BTdeep_M3e+11_N100_B160_all.npz
BT_deep,316227766016.838,8,0.07079457844,1132099.952,1097928.528,1151336.473,98,160,0.01907812377,0.6,63,BTdeep_M3e+11_N100_B160_all.npz
BT_deep,316227766016.838,9,0.08912509381,687472.1073,669515.0999,691729.9553,98,160,0.01907812377,0.6,63,BTdeep_M3e+11_N100_B160_all.npz
BT_deep,316227766016.838,10,0.1122018454,406402.1464,402619.7178,414087.2397,98,160,0.01907812377,0.6,63,BTdeep_M3e+11_N100_B160_all.npz
BT_deep,316227766016.838,11,0.1412537545,239623.2088,237356.2717,242224.0151,98,160,0.01907812377,0.6,63,BTdeep_M3e+11_N100_B160_all.npz
BT_deep,316227766016.838,12,0.177827941,138360.3473,136524.6443,139156.8267,98,160,0.01907812377,0.6,63,BTdeep_M3e+11_N100_B160_all.npz
BT_deep,316227766016.838,13,0.2238721139,78396.35593,77567.03261,78707.98554,98,160,0.01907812377,0.6,63,BTdeep_M3e+11_N100_B160_all.npz
BT_deep,316227766016.838,14,0.2818382931,43138.73215,42198.75351,43735.73888,98,160,0.01907812377,0.6,63,BTdeep_M3e+11_N100_B160_all.npz
BT_deep,316227766016.838,15,0.3548133892,22470.97384,22254.01279,22686.77879,98,160,0.01907812377,0.6,63,BTdeep_M3e+11_N100_B160_all.npz
BT_deep,316227766016.838,16,0.4466835922,12022.01881,11932.17038,12127.42582,98,160,0.01907812377,0.6,63,BTdeep_M3e+11_N100_B160_all.npz
BT_deep,316227766016.838,17,0.5623413252,6110.366984,6007.892364,6198.415276,98,160,0.01907812377,0.6,63,BTdeep_M3e+11_N100_B160_all.npz
BT_deep,316227766016.838,18,0.7079457844,3159.283268,3100.560669,3234.972729,98,160,0.01907812377,0.6,63,BTdeep_M3e+11_N100_B160_all.npz
BT_deep,316227766016.838,19,0.8912509381,1554.227621,1536.479502,1604.209844,98,160,0.01907812377,0.6,63,BTdeep_M3e+11_N100_B160_all.npz
BT_soft,10000000000,0,0.01122018454,33239269.46,31538782.16,37102336.06,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,10000000000,1,0.01412537545,29235879.5,27183237,30671711.58,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,10000000000,2,0.0177827941,26576970.89,24306145.26,27305500.7,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,10000000000,3,0.02238721139,19292549.27,18099929.78,20264024.39,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,10000000000,4,0.02818382931,12701358.14,12211431.84,13759103.83,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,10000000000,5,0.03548133892,8319008.14,8123546.292,8519248.729,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,10000000000,6,0.04466835922,4886944.262,4809650.103,5013131.108,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,10000000000,7,0.05623413252,2978329.178,2919842.489,3013523.806,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,10000000000,8,0.07079457844,1703936.017,1642370.894,1724595.515,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,10000000000,9,0.08912509381,951043.3092,942423.4306,963902.873,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,10000000000,10,0.1122018454,531171.0964,520625.8595,540491.8771,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,10000000000,11,0.1412537545,284147.8931,276965.6032,285962.5588,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,10000000000,12,0.177827941,144900.5111,143270.2689,146529.6845,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,10000000000,13,0.2238721139,75029.69429,73841.66467,76052.71531,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,10000000000,14,0.2818382931,37648.38981,36541.21048,38282.72022,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,10000000000,15,0.3548133892,18435.07664,18205.00966,18610.4579,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,10000000000,16,0.4466835922,8796.631057,8488.501349,8901.142812,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,10000000000,17,0.5623413252,4231.365126,4171.990398,4339.433676,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
BT_soft,10000000000,18,0.7079457844,1923.551423,1854.387131,1997.077367,100,160,0.06156820014,0.6,63,BTsoft_M1e+10_N100_B160_all.npz
