model,snapshot,redshift,box_size_mpc,particle_mass_msun,log10_M_FOF_Msun,dn_dlog10M,poisson_err,counts,log10_bin_left,log10_bin_right,source_fof_file
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.0081418877e+01,1.9506011623e-01,4.7846807880e-03,1662,1.0000000000e+01,1.0166666667e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.0248389895e+01,1.4165918188e-01,4.0774730031e-03,1207,1.0166666667e+01,1.0333333333e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.0414444387e+01,9.8468975642e-02,3.3995265680e-03,839,1.0333333333e+01,1.0500000000e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.0583515148e+01,7.1709826123e-02,2.9010690401e-03,611,1.0500000000e+01,1.0666666667e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.0745917054e+01,5.1757828675e-02,2.4646585083e-03,441,1.0666666667e+01,1.0833333333e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.0911364335e+01,3.3801030971e-02,1.9917448509e-03,288,1.0833333333e+01,1.1000000000e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.1080622107e+01,2.6993878901e-02,1.7799236648e-03,230,1.1000000000e+01,1.1166666667e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.1244301394e+01,1.8308891776e-02,1.4658845192e-03,156,1.1166666667e+01,1.1333333333e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.1414754592e+01,1.1267010324e-02,1.1499344258e-03,96,1.1333333333e+01,1.1500000000e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.1580285239e+01,8.9197165063e-03,1.0231616541e-03,76,1.1500000000e+01,1.1666666667e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
PL-25-1024,0056,-2.220446049e-16,37.11401427,1.8904375611e+06,1.1743854147e+01,6.8071520706e-03,8.9382285632e-04,58,1.1666666667e+01,1.1833333333e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/fof_output_0056.hdf5
