box_hinv_Mpc,redshift,k_hMpc,P_mesh512_over_mesh1024,n_raw_shells,k_bin_left_hMpc,k_bin_right_hMpc,k_over_kNy1024,inferred_mesh1024_fractional_error_dx2
25.0,-2.220446049250313e-16,0.32072956064263475,1.0000448162626894,1.0,0.32072956064263475,0.3638786973390905,0.0024924655748030824,1.493875422979111e-05
25.0,-2.220446049250313e-16,0.5606619683395725,1.0000637752547068,1.0,0.5313853257567784,0.6028748947682165,0.004357037288323959,2.125841823559978e-05
25.0,-2.220446049250313e-16,0.787700109846164,1.000044887607752,1.0,0.7760013611527877,0.8804001847034671,0.00612140459746318,1.4962535917299272e-05
25.0,-2.220446049250313e-16,1.0205350124370263,1.0000311150977557,1.0,0.9988442340802646,1.1332230743357103,0.007930819913461992,1.0371699251887634e-05
25.0,-2.220446049250313e-16,1.2811623763405762,0.9999725890005976,1.0,1.1332230743357103,1.2856804818915182,0.009956217045798915,9.136999800799886e-06
25.0,-2.220446049250313e-16,1.5386083750512618,0.9998625205026267,1.0,1.4586486446949307,1.6548869634702001,0.011956891033788922,4.582649912443504e-05
25.0,-2.220446049250313e-16,1.7773229368951355,0.9997868604940501,1.0,1.6548869634702001,1.877526073070458,0.013811998578001248,7.104650198330731e-05
25.0,-2.220446049250313e-16,2.016922174616909,0.9996848750594789,1.0,1.877526073070458,2.130117786212685,0.015673981148532027,0.00010504164684036847
25.0,-2.220446049250313e-16,2.276370248265442,0.9995287519557954,1.0,2.130117786212685,2.4166917563596226,0.01769021373626807,0.00015708268140153989
25.0,-2.220446049250313e-16,2.5367369097912875,0.9993401807313422,1.0,2.4166917563596226,2.7418197637045654,0.019713584888522595,0.0002199397562192562
25.0,-2.220446049250313e-16,2.8990729604410603,0.9991170475203246,2.0,2.7418197637045654,3.110688649828078,0.02252938437686765,0.0002943174932251343
25.0,-2.220446049250313e-16,3.2785072534903903,0.9987131940387135,1.0,3.110688649828078,3.529183064569913,0.025478058366974077,0.00042893532042883226
25.0,-2.220446049250313e-16,3.651082924852382,0.998434596454391,2.0,3.529183064569913,4.003979345195941,0.02837343237932967,0.0005218011818696559
25.0,-2.220446049250313e-16,4.274849642878323,0.9978309582156321,3.0,4.003979345195941,4.542652025535962,0.03322087166204631,0.0007230139281226474
25.0,-2.220446049250313e-16,4.906232026573291,0.9970022068241856,2.0,4.542652025535962,5.153794674257026,0.03812749409105989,0.0009992643919381299
