model,z,x,y,lo,hi
kp1,0,119983034.50969091,1.3333636396204938,1.3280450942981112,1.3386821849428763
kp1,0,176759090.53341413,1.3500710627718482,1.3435487473265317,1.3565933782171646
kp1,0,259833076.36549956,1.3741368017163793,1.3663231338173627,1.381950469615396
kp1,0,381411862.41089785,1.381942771497149,1.3725560686582134,1.3913294743360847
kp1,0,560055743.9764661,1.4215498819181884,1.410189528847283,1.4329102349890939
kp1,0,822748744.6113247,1.4127820349048983,1.399313817281024,1.4262502525287726
kp1,0,1206788534.883781,1.4207601689501979,1.4047970538501826,1.436723284050213
kp1,0,1769823535.713531,1.4775736864883964,1.4578013878389597,1.497345985137833
kp1,0,2603995232.662226,1.4508582712816738,1.4276170114407905,1.474099531122557
kp1,0,3815358883.1876817,1.4345386533576197,1.407598401274149,1.4614789054410904
kp1,0,5593182815.42922,1.4826968974014552,1.449558154082133,1.5158356407207774
kp1,0,8210828981.289826,1.4778100373522298,1.4388387542607184,1.5167813204437413
kp1,0,12063333641.974836,1.465102286379377,1.4184861865024234,1.5117183862563306
kp1,0,17699538391.579556,1.440762220431934,1.3867856536947953,1.4947387871690725
kp1,0,25967690900.254787,1.4171632896572872,1.3532660699752677,1.4810605093393068
kp1,0,38280046486.200356,1.4140752863640855,1.3393287511911938,1.4888218215369773
kp1,0,55755871306.718605,1.371882086164427,1.2859835732409763,1.4577805990878776
kp1,0,81472477407.95776,1.4479166666836165,1.3369803213783864,1.5588530119888466
kp1,0,120524742003.27454,1.352173913014325,1.2345793959158455,1.4697684301128047
kp1,0,174947581454.74008,1.5576923077007103,1.3978827729645331,1.7175018424368875
kp1,0,258013108739.2268,1.6562499999889058,1.4421770455714122,1.8703229544063993
kp1,0,380803208566.152,1.368421052662262,1.1619151195910762,1.5749269857334478
kp1,0,564490028911.8058,1.3275862069000977,1.0967678971201338,1.5584045166800615
kp1,0,836085888595.2013,1.106382978730347,0.8837074551186077,1.3290585023420862
kp1,0,1188897637354.9587,1.4444444444163937,1.0828192958845833,1.8060695929482042
kp1,0,1748416404095.3823,1.0434782608421838,0.7389954390484138,1.3479610826359538
kp1,0,2571637988029.5664,1.2727272727131893,0.7599308410647007,1.7855237043616778
kp1,0,3798358042601.127,1.0,0.5527864044889186,1.4472135955110814
kp1,0,5583243892191.742,1.3333333333017758,0.7453885975426235,1.9212780690609281
kp1,0,8278955667103.881,1.0,0.4226497308004653,1.5773502691995347
kp10,0,119958617.42930652,1.5034640142387856,1.497614166762315,1.5093138617152562
kp10,0,176693190.86694694,1.5068783352189143,1.499761470503222,1.5139951999346066
kp10,0,259546020.66257417,1.4749883035386782,1.4667228258716567,1.4832537812056996
kp10,0,381309980.10345876,1.4342193313454346,1.4245523691974444,1.4438862934934247
kp10,0,559475409.3277436,1.4209875154684186,1.4096307286491963,1.432344302287641
kp10,0,821746125.8265108,1.3670178799233268,1.353895839694794,1.3801399201518596
kp10,0,1205219808.5096707,1.310291175834444,1.2953150788502048,1.3252672728186832
kp10,0,1767863373.2236896,1.278299871844759,1.260664236386259,1.2959355073032588
kp10,0,2600779403.3877754,1.2233024456911799,1.2029763358888552,1.2436285554935045
kp10,0,3809856118.1150384,1.1581463009069182,1.135355512769191,1.1809370890446453
kp10,0,5584337497.212208,1.1494630071689742,1.122313591790605,1.1766124225473433
kp10,0,8195813725.614711,1.0763168809613184,1.0458717190405524,1.1067620428820844
kp10,0,12035802732.089783,1.0764139590813366,1.0397422525271087,1.1130856656355645
kp10,0,17673047755.792694,1.0314830157905186,0.9898168052996174,1.0731492262814197
kp10,0,25960455960.86473,1.0500595947694362,0.9994061207463936,1.1007130687924789
kp10,0,38311563679.93477,0.9754500818342473,0.9192916529114855,1.031608510757009
kp10,0,55566848529.73187,1.0022675736985986,0.9348095517645689,1.0697255956326284
kp10,0,81521627152.39273,1.0138888889040922,0.9296879971829031,1.0980897806252814
kp10,0,120540810838.98265,1.0347826086959744,0.9391029426014926,1.130462274790456
kp10,0,175247518062.41284,0.9551282051338069,0.8457184222105124,1.0645379880571015
kp10,0,260479563836.80237,1.0416666666222894,0.8928261440671752,1.1905071891774035
kp10,0,380687984438.10376,0.9210526315827828,0.7684700145437783,1.0736352486217875
kp10,0,551316385880.7327,0.9827586206856026,0.799466262961436,1.1660509784097692
kp10,0,836245689165.8059,1.0851063829806518,0.865698948645792,1.3045138173155115
kp10,0,1171851157942.2092,0.9629629629547815,0.698369590027166,1.2275563358823969
kp10,0,1725438357783.88,0.9565217391207708,0.671271614213022,1.2417718640285196
kp10,0,2519709367179.025,1.0,0.573598567289749,1.426401432710251
kp10,0,3792712823037.714,1.0,0.5527864044889186,1.4472135955110814
kp10,0,5682993090226.776,1.0,0.5285954792268198,1.4714045207731803
kp10,0,8428019562700.143,1.0,0.4226497308004653,1.5773502691995347
kp1,3.441080566,120011009.6301272,1.6917950062241838,1.6863319983764538,1.6972580140719138
kp1,3.441080566,176738710.02338564,1.701410875715489,1.6947803450066923,1.708041406424286
kp1,3.441080566,259618556.15511832,1.7123769998332488,1.7044915049610758,1.7202624947054217
kp1,3.441080566,381645760.5898677,1.7290283288799602,1.7194002940404742,1.738656363719446
kp1,3.441080566,559491002.7852998,1.7582140082084725,1.746613378650729,1.769814637766216
