model,z,snap,box,k_hMpc,P_Mpc_over_h_cubed,source_file
PL,19.40664523021168,24,25,7.546022875800913,0.002266439651514124,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,7.796320632595667,0.002071283678944358,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,8.04569565437213,0.0018660892285459693,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,8.295810539385062,0.0017666233550854469,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,8.549551313965676,0.0016399951336981745,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,8.801317467211248,0.0015332325708866765,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,9.051715364342233,0.0014368420483919133,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,9.303933965686708,0.0013526839407699122,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,9.555557996267446,0.001245054051135703,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,9.80486850979469,0.0011668606826257242,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,10.054942567415612,0.0011162147734057758,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,10.308274496268336,0.0010289459087364635,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,10.560810068695892,0.0009712250650163769,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,10.811584699358507,0.0009112654757150958,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,11.062453457041169,0.0008559749823355146,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,11.314786957671013,0.0008101680331991372,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,11.565937880035426,0.0007758594909877067,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,11.814085010948824,0.0007200468874819726,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,12.064293330625782,0.000696314569290529,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,12.317521238569554,0.0006509149740481631,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,12.571032385248238,0.0006278627968478135,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,12.821843069043268,0.0005996802335391057,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,13.072502986326512,0.0005663837055141242,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
