model,z,x,y,lo,hi
kp1,19.40664523,237137370.57,760.2857142876458,631.6894853838278,888.8819431914637
kp1,19.40664523,334965439.16,802.388888905843,613.1461996340964,991.6315781775896
kp1,19.40664523,473151258.96,1257.5000000049292,743.9236911756224,1771.076308834236
kp1,19.40664523,668343917.57,934.2499999850024,466.8750668346897,1401.6249331353151
kp1,19.40664523,1333521432.2,767.0000000034255,-0.4998371335103684,1534.4998371403613
kp10,19.40664523,237137370.57,6.171428571578477,5.04692284921025,7.295934293946703
kp10,19.40664523,334965439.16,3.5000000000490474,2.5645856533169384,4.435414346781156
kp10,19.40664523,473151258.96,4.5000000000147145,2.468990398894881,6.5310096011345475
kp10,19.40664523,668343917.57,2.5000000000220712,1.0209800541973835,3.979019945846759
kp10,19.40664523,1333521432.2,1.0,-0.41421356237309515,2.414213562373095
kp1,14.3318146,237137370.57,41.09628770328269,40.094548742334624,42.09802666423076
kp1,14.3318146,334965439.16,45.92070030938441,44.43107556066477,47.41032505810404
kp1,14.3318146,473151258.96,52.10546139116773,49.82268193426368,54.38824084807178
kp1,14.3318146,668343917.57,54.63157894881132,51.46969607917051,57.79346181845212
kp1,14.3318146,944060876.29,68.66901408504515,62.86463102190771,74.47339714818258
kp1,14.3318146,1333521432.2,83.4531250011592,72.95917049337002,93.94707950894836
kp1,14.3318146,1883649089.5,95.50000000132427,77.97311588912643,113.0268841135221
kp1,14.3318146,2660725059.8,98.74999999929648,73.9378148631999,123.56218513539305
kp1,14.3318146,3758374042.9,144.2000000000777,79.48857906057985,208.91142093957552
kp1,14.3318146,5308844442.3,109.66666666970761,46.06256710170938,173.27076623770586
kp1,14.3318146,7498942093.3,133.00000000010593,-0.49906366712693284,266.49906366733876
kp1,14.3318146,10592537252.0,61.000000000035314,-0.4979674460828818,122.49796744615351
kp10,14.3318146,237137370.57,3.2047563805171246,3.1163468063362894,3.29316595469796
kp10,14.3318146,334965439.16,2.671472708522157,2.5709681157792916,2.7719773012650224
kp10,14.3318146,473151258.96,2.310734463240014,2.190704427590073,2.430764498889955
kp10,14.3318146,668343917.57,2.0230263158408692,1.8811908177388919,2.1648618139428466
kp10,14.3318146,944060876.29,2.1197183098219385,1.9039177364080972,2.33551888323578
kp10,14.3318146,1333521432.2,1.7187500000301759,1.448540256188008,1.9889597438723436
kp10,14.3318146,1883649089.5,1.4666666667059047,1.1194022248174411,1.8139311085943683
kp10,14.3318146,2660725059.8,1.187499999951029,0.7845688450154686,1.5904311548865893
kp10,14.3318146,3758374042.9,1.2000000000070628,0.4733639150262322,1.9266360849878934
kp10,14.3318146,5308844442.3,1.0,0.18350341905676293,1.816496580943237
kp10,14.3318146,7498942093.3,1.0,-0.41421356237309515,2.414213562373095
kp10,14.3318146,10592537252.0,1.0,-0.41421356237309515,2.414213562373095
kp1,10.51901923,237137370.57,8.784435858975371,8.702114252462207,8.866757465488535
kp1,10.51901923,334965439.16,9.489002749243301,9.377476239166487,9.600529259320115
kp1,10.51901923,473151258.96,9.930300663646047,9.784728791904119,10.075872535387976
kp1,10.51901923,668343917.57,10.254377880144935,10.066082394158943,10.442673366130926
kp1,10.51901923,944060876.29,11.383446831069355,11.111706125047437,11.655187537091273
kp1,10.51901923,1333521432.2,12.61762034513513,12.222576154726436,13.012664535543824
kp1,10.51901923,1883649089.5,13.652713178080152,13.095798518136814,14.20962783802349
kp1,10.51901923,2660725059.8,14.01832460741636,13.275943146171777,14.760706068660944
kp1,10.51901923,3758374042.9,15.814999999535617,14.661897174622752,16.968102824448483
kp1,10.51901923,5308844442.3,16.330357143068287,14.740739821735854,17.91997446440072
kp1,10.51901923,7498942093.3,16.423728813240267,14.221408784881065,18.62604884159947
kp1,10.51901923,10592537252.0,23.00000000058857,18.204168477122636,27.795831524054506
kp1,10.51901923,14962356561.0,23.000000000642075,15.91608736803612,30.08391263324803
kp1,10.51901923,21134890398.0,24.59999999995056,13.377166133248837,35.82283386665228
kp1,10.51901923,29853826189.0,66.99999999989406,-0.4981481227398348,134.49814812252794
kp1,10.51901923,42169650343.0,6.249999999834464,2.884271995320068,9.61572800434886
kp1,10.51901923,59566214353.0,11.000000000035316,-0.48912529309682107,22.489125293167454
kp10,10.51901923,237137370.57,2.2140660727113173,2.190378983673162,2.2377531617494726
kp10,10.51901923,334965439.16,2.0722319420095165,2.044025590847504,2.1004382931715293
kp10,10.51901923,473151258.96,1.8740726278851996,1.8416444690921911,1.906500786678208
kp10,10.51901923,668343917.57,1.7139784946299552,1.6761751357845847,1.7517818534753258
kp10,10.51901923,944060876.29,1.6071241488000465,1.560274902825702,1.653973394774391
kp10,10.51901923,1333521432.2,1.485921889180122,1.427999286258544,1.5438444921017
kp10,10.51901923,1883649089.5,1.3519379844900121,1.281725965616057,1.4221500033639674
kp10,10.51901923,2660725059.8,1.261780104719786,1.1753459585974706,1.3482142508421016
