box_hinv_Mpc,model,label,snapshot,redshift,reference_model,k_hMpc,P_sim_Mpc_over_h_cubed,P_hmcode_Mpc_over_h_cubed,sim_over_hmcode,sim_over_hmcode_minus_1,source_file
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,6.9129667849e+00,1.3972967775e+01,2.0880484431e+01,6.6918791186e-01,-3.3081208814e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,7.9160323189e+00,1.1248237509e+01,1.6071060898e+01,6.9990634595e-01,-3.0009365405e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,9.1677843868e+00,8.9260979491e+00,1.2031203934e+01,7.4191228060e-01,-2.5808771940e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,1.0676813721e+01,6.9107138720e+00,8.8516197462e+00,7.8072873329e-01,-2.1927126671e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,1.2307894307e+01,5.3671071240e+00,6.6098951747e+00,8.1198067173e-01,-1.8801932827e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,1.4191236202e+01,4.1023308736e+00,4.9078820691e+00,8.3586582070e-01,-1.6413417930e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,1.6325873207e+01,3.1682695571e+00,3.6421829149e+00,8.6988205458e-01,-1.3011794542e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,1.8834933875e+01,2.4068400869e+00,2.6731841915e+00,9.0036447715e-01,-9.9635522846e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,2.1724701131e+01,1.8124152819e+00,1.9533216495e+00,9.2786320288e-01,-7.2136797123e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,2.4988160556e+01,1.3595958428e+00,1.4291855927e+00,9.5130810843e-01,-4.8691891575e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,2.8755021694e+01,1.0146002647e+00,1.0400756375e+00,9.7550623064e-01,-2.4493769361e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,3.3148095750e+01,7.3927725617e-01,7.5052721597e-01,9.8501059047e-01,-1.4989409531e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,3.8295411886e+01,5.2212930773e-01,5.3657184981e-01,9.7308367540e-01,-2.6916324601e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,4.4197519067e+01,3.7365902699e-01,3.8292479532e-01,9.7580264208e-01,-2.4197357925e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,5.0976964633e+01,2.6516921648e-01,2.7262574670e-01,9.7264920750e-01,-2.7350792499e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,5.8762683884e+01,1.8150531536e-01,1.9362469852e-01,9.3740786560e-01,-6.2592134404e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
25,PL,PL 25,0056,-2.2204460493e-16,HMcode2020,6.7800053809e+01,1.2269964052e-01,1.3677113752e-01,8.9711647311e-01,-1.0288352689e-01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0056.npz
