model,target_mass_msun,bin_index,r_over_r200m,rho_msun_kpc3_median,rho_msun_kpc3_p16_bootstrap_median,rho_msun_kpc3_p84_bootstrap_median,nhalo,n_bootstrap,power_radius_over_r200m,kappa_threshold,reference_overdensity_crit,source_cache
BT_deep,1e+09,19,0.8912509381,1167.357312,1131.100173,1200.499675,100,160,0.18199777,0.6,63,BTdeep_M1e+09_N100_B160_all.npz
BT_deep,1e+10,0,0.01122018454,14097644.16,12531808.13,16020313.87,100,160,0.06552444611,0.6,63,BTdeep_M1e+10_N100_B160_all.npz
BT_deep,1e+10,1,0.01412537545,12491095.72,11424594.21,14279957.75,100,160,0.06552444611,0.6,63,BTdeep_M1e+10_N100_B160_all.npz
BT_deep,1e+10,2,0.0177827941,11862766.55,10409502.44,12571028.67,100,160,0.06552444611,0.6,63,BTdeep_M1e+10_N100_B160_all.npz
BT_deep,1e+10,3,0.02238721139,10402193.32,10072255,10777325.77,100,160,0.06552444611,0.6,63,BTdeep_M1e+10_N100_B160_all.npz
BT_deep,1e+10,4,0.02818382931,8092541.782,7742658.315,8374413.039,100,160,0.06552444611,0.6,63,BTdeep_M1e+10_N100_B160_all.npz
BT_deep,1e+10,5,0.03548133892,5507246.652,5369965.48,5872779.126,100,160,0.06552444611,0.6,63,BTdeep_M1e+10_N100_B160_all.npz
BT_deep,1e+10,6,0.04466835922,3764680.971,3690548.327,3872629.806,100,160,0.06552444611,0.6,63,BTdeep_M1e+10_N100_B160_all.npz
BT_deep,1e+10,7,0.05623413252,2273012.806,2244240.785,2301990.329,100,160,0.06552444611,0.6,63,BTdeep_M1e+10_N100_B160_all.npz
BT_deep,1e+10,8,0.07079457844,1361081.334,1343438.261,1373570.791,100,160,0.06552444611,0.6,63,BTdeep_M1e+10_N100_B160_all.npz
BT_deep,1e+10,9,0.08912509381,801632.4545,788926.9783,815067.6354,100,160,0.06552444611,0.6,63,BTdeep_M1e+10_N100_B160_all.npz
BT_deep,1e+10,10,0.1122018454,450721.7855,444552.0522,453756.3631,100,160,0.06552444611,0.6,63,BTdeep_M1e+10_N100_B160_all.npz
BT_deep,1e+10,11,0.1412537545,259255.196,254522.013,264444.4947,100,160,0.06552444611,0.6,63,BTdeep_M1e+10_N100_B160_all.npz
BT_deep,1e+10,12,0.177827941,143960.7284,141371.1562,146461.8325,100,160,0.06552444611,0.6,63,BTdeep_M1e+10_N100_B160_all.npz
BT_deep,1e+10,13,0.2238721139,79144.87869,77576.18324,79643.39964,100,160,0.06552444611,0.6,63,BTdeep_M1e+10_N100_B160_all.npz
BT_deep,1e+10,14,0.2818382931,41381.6493,40815.42725,41922.35227,100,160,0.06552444611,0.6,63,BTdeep_M1e+10_N100_B160_all.npz
BT_deep,1e+10,15,0.3548133892,21279.58196,20786.47933,21580.11538,100,160,0.06552444611,0.6,63,BTdeep_M1e+10_N100_B160_all.npz
BT_deep,1e+10,16,0.4466835922,10415.68148,10274.05304,10577.84757,100,160,0.06552444611,0.6,63,BTdeep_M1e+10_N100_B160_all.npz
BT_deep,1e+10,17,0.5623413252,5352.468272,5250.316609,5397.736765,100,160,0.06552444611,0.6,63,BTdeep_M1e+10_N100_B160_all.npz
BT_deep,1e+10,18,0.7079457844,2624.100384,2566.69374,2720.880872,100,160,0.06552444611,0.6,63,BTdeep_M1e+10_N100_B160_all.npz
BT_deep,1e+10,19,0.8912509381,1353.056463,1275.470275,1380.073291,100,160,0.06552444611,0.6,63,BTdeep_M1e+10_N100_B160_all.npz
BT_deep,1e+11,0,0.01122018454,7662218.109,5764478.724,9274777.893,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,1e+11,1,0.01412537545,7492929.792,6187262.383,8374903.338,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,1e+11,2,0.0177827941,7922301.591,6171082.425,8789120.683,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,1e+11,3,0.02238721139,7290060.339,5950793.463,7934312.663,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,1e+11,4,0.02818382931,6160115.759,5702387.114,6309786.305,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
BT_deep,1e+11,5,0.03548133892,4272212.362,4158783.057,4526210.494,100,160,0.02816649575,0.6,63,BTdeep_M1e+11_N100_B160_all.npz
