ratio,target_mass_msun,bin_index,r_over_r200m,rho_ratio_median,rho_ratio_lower_from_bootstrap_bounds,rho_ratio_upper_from_bootstrap_bounds,nhalo_bt,nhalo_pl,n_bootstrap,kappa_threshold
BT_soft/PL,100000000000,10,0.1122018454,1.138450681,1.097002843,1.172448171,100,100,160,0.6
BT_soft/PL,100000000000,11,0.1412537545,1.10097895,1.075574234,1.11927464,100,100,160,0.6
BT_soft/PL,100000000000,12,0.177827941,1.062596487,1.029671539,1.080570818,100,100,160,0.6
BT_soft/PL,100000000000,13,0.2238721139,0.991265144,0.9702976214,1.003032416,100,100,160,0.6
BT_soft/PL,100000000000,14,0.2818382931,0.9200357655,0.9080376521,0.9345440381,100,100,160,0.6
BT_soft/PL,100000000000,15,0.3548133892,0.8767639531,0.8608867538,0.8938592698,100,100,160,0.6
BT_soft/PL,100000000000,16,0.4466835922,0.8554265138,0.831898574,0.8882145553,100,100,160,0.6
BT_soft/PL,100000000000,17,0.5623413252,0.8270202402,0.794037258,0.8599273105,100,100,160,0.6
BT_soft/PL,100000000000,18,0.7079457844,0.7995143153,0.7692222533,0.8303757541,100,100,160,0.6
BT_soft/PL,100000000000,19,0.8912509381,0.800339155,0.763841916,0.8713201787,100,100,160,0.6
BT_soft/PL,316227766016.838,0,0.01122018454,0.7043602146,0.5280323878,1.195925949,100,100,160,0.6
BT_soft/PL,316227766016.838,1,0.01412537545,0.7547681536,0.4946448957,1.254176286,100,100,160,0.6
BT_soft/PL,316227766016.838,2,0.0177827941,0.752212654,0.5713937945,1.374392242,100,100,160,0.6
BT_soft/PL,316227766016.838,3,0.02238721139,0.9208383571,0.6914014223,1.555370916,100,100,160,0.6
BT_soft/PL,316227766016.838,4,0.02818382931,1.261495871,1.023195299,1.409791393,100,100,160,0.6
BT_soft/PL,316227766016.838,5,0.03548133892,1.335353868,1.261818526,1.408263587,100,100,160,0.6
BT_soft/PL,316227766016.838,6,0.04466835922,1.337603989,1.256044554,1.398800606,100,100,160,0.6
BT_soft/PL,316227766016.838,7,0.05623413252,1.27465086,1.212585726,1.318018247,100,100,160,0.6
BT_soft/PL,316227766016.838,8,0.07079457844,1.226706247,1.180114747,1.254881311,100,100,160,0.6
BT_soft/PL,316227766016.838,9,0.08912509381,1.168755729,1.134463311,1.210260852,100,100,160,0.6
BT_soft/PL,316227766016.838,10,0.1122018454,1.143808669,1.093356236,1.187919461,100,100,160,0.6
BT_soft/PL,316227766016.838,11,0.1412537545,1.080982664,1.043790298,1.111923062,100,100,160,0.6
BT_soft/PL,316227766016.838,12,0.177827941,1.023301894,1.006132953,1.052000621,100,100,160,0.6
BT_soft/PL,316227766016.838,13,0.2238721139,0.9713694886,0.9613230986,1.000591295,100,100,160,0.6
BT_soft/PL,316227766016.838,14,0.2818382931,0.9465884343,0.9093382374,0.9570924625,100,100,160,0.6
BT_soft/PL,316227766016.838,15,0.3548133892,0.9564503844,0.9267724823,0.9909289951,100,100,160,0.6
BT_soft/PL,316227766016.838,16,0.4466835922,0.9275824206,0.8941825007,0.9461784802,100,100,160,0.6
BT_soft/PL,316227766016.838,17,0.5623413252,0.8884259456,0.8548679076,0.9259307374,100,100,160,0.6
BT_soft/PL,316227766016.838,18,0.7079457844,0.8315608915,0.796101805,0.9032446012,100,100,160,0.6
BT_soft/PL,316227766016.838,19,0.8912509381,0.8557765195,0.7655923953,0.9009986089,100,100,160,0.6
BT_deep/PL,10000000000,0,0.01122018454,1.003981317,0.8237427613,1.359908818,100,100,160,0.6
BT_deep/PL,10000000000,1,0.01412537545,1.246830009,0.8772669381,1.721077249,100,100,160,0.6
BT_deep/PL,10000000000,2,0.0177827941,1.282846612,0.9537503013,1.667840462,100,100,160,0.6
BT_deep/PL,10000000000,3,0.02238721139,1.436930507,1.190447482,2.000094749,100,100,160,0.6
BT_deep/PL,10000000000,4,0.02818382931,1.295185673,1.121617269,1.529302204,100,100,160,0.6
BT_deep/PL,10000000000,5,0.03548133892,1.14906493,1.041466956,1.33431068,100,100,160,0.6
BT_deep/PL,10000000000,6,0.04466835922,1.148043651,1.098763497,1.203172935,100,100,160,0.6
BT_deep/PL,10000000000,7,0.05623413252,1.081278845,1.036370257,1.123634246,100,100,160,0.6
BT_deep/PL,10000000000,8,0.07079457844,1.036169752,0.9886441499,1.063676024,100,100,160,0.6
BT_deep/PL,10000000000,9,0.08912509381,1.037777852,1.012728681,1.079747634,100,100,160,0.6
BT_deep/PL,10000000000,10,0.1122018454,0.9997516372,0.9640729025,1.033965043,100,100,160,0.6
BT_deep/PL,10000000000,11,0.1412537545,1.010367599,0.9834484761,1.042574763,100,100,160,0.6
BT_deep/PL,10000000000,12,0.177827941,0.998045213,0.9603841165,1.034837131,100,100,160,0.6
BT_deep/PL,10000000000,13,0.2238721139,0.9979881397,0.9607878244,1.012782798,100,100,160,0.6
BT_deep/PL,10000000000,14,0.2818382931,0.9965641443,0.9767537192,1.022529076,100,100,160,0.6
BT_deep/PL,10000000000,15,0.3548133892,0.981962604,0.9401673597,1.003443937,100,100,160,0.6
BT_deep/PL,10000000000,16,0.4466835922,0.9321603095,0.9138450775,0.9649973477,100,100,160,0.6
BT_deep/PL,10000000000,17,0.5623413252,0.9605312816,0.9108150143,0.9893454774,100,100,160,0.6
BT_deep/PL,10000000000,18,0.7079457844,0.9350368504,0.8930003477,1.023095813,100,100,160,0.6
BT_deep/PL,10000000000,19,0.8912509381,1.026005677,0.9020396757,1.079816608,100,100,160,0.6
BT_deep/PL,31622776601.6838,0,0.01122018454,0.5837582216,0.4695188751,0.7427782733,100,100,160,0.6
BT_deep/PL,31622776601.6838,1,0.01412537545,0.7617993597,0.6849680788,0.9487112494,100,100,160,0.6
BT_deep/PL,31622776601.6838,2,0.0177827941,0.8383671484,0.6736466321,0.9277024581,100,100,160,0.6
BT_deep/PL,31622776601.6838,3,0.02238721139,0.9724705793,0.8884316993,1.08076067,100,100,160,0.6
BT_deep/PL,31622776601.6838,4,0.02818382931,0.9749478006,0.9143185254,1.110694587,100,100,160,0.6
BT_deep/PL,31622776601.6838,5,0.03548133892,0.9763613045,0.910252696,1.094980974,100,100,160,0.6
BT_deep/PL,31622776601.6838,6,0.04466835922,0.9728183168,0.9437195667,1.060733224,100,100,160,0.6
BT_deep/PL,31622776601.6838,7,0.05623413252,0.9998661382,0.9474713539,1.043076449,100,100,160,0.6
BT_deep/PL,31622776601.6838,8,0.07079457844,1.002344215,0.9648866277,1.047373864,100,100,160,0.6
BT_deep/PL,31622776601.6838,9,0.08912509381,0.9763550792,0.9290384025,1.004107505,100,100,160,0.6
BT_deep/PL,31622776601.6838,10,0.1122018454,0.980218339,0.9461274859,1.015317673,100,100,160,0.6
BT_deep/PL,31622776601.6838,11,0.1412537545,0.9842682789,0.9579120447,1.012285373,100,100,160,0.6
BT_deep/PL,31622776601.6838,12,0.177827941,0.9913479972,0.9649232215,1.014059921,100,100,160,0.6
BT_deep/PL,31622776601.6838,13,0.2238721139,1.002750906,0.9736577336,1.023072543,100,100,160,0.6
BT_deep/PL,31622776601.6838,14,0.2818382931,0.978025409,0.9475559617,1.011295305,100,100,160,0.6
BT_deep/PL,31622776601.6838,15,0.3548133892,0.9899819182,0.9613807383,1.030191847,100,100,160,0.6
BT_deep/PL,31622776601.6838,16,0.4466835922,1.059633148,1.007601801,1.096159882,100,100,160,0.6
BT_deep/PL,31622776601.6838,17,0.5623413252,1.013107271,0.9919227847,1.055418637,100,100,160,0.6
