model,snapshot,redshift,log10_M200c_center_Msun,log10_M200c_left_Msun,log10_M200c_right_Msun,log10_c200c_median,log10_c200c_p16,log10_c200c_p84,n_halos_bin,n_valid_snapshot,n_total_snapshot,source_file
PL,0056,0,1.2625000000e+01,1.2500000000e+01,1.2750000000e+01,8.4265866055e-01,7.9757575336e-01,9.3410985076e-01,11,178722,1044921,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0,1.2875000000e+01,1.2750000000e+01,1.3000000000e+01,7.7740360720e-01,6.5334433812e-01,9.6916747713e-01,7,178722,1044921,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0,1.3125000000e+01,1.3000000000e+01,1.3250000000e+01,7.8150850504e-01,6.1582412195e-01,8.2502626146e-01,14,178722,1044921,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0,1.3375000000e+01,1.3250000000e+01,1.3500000000e+01,7.8003177514e-01,6.3210931916e-01,8.3413996121e-01,3,178722,1044921,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_soft,0056,0,8.3750000000e+00,8.2500000000e+00,8.5000000000e+00,1.7532020900e+00,1.4605637794e+00,2.1215262991e+00,98169,274078,1595144,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_soft,0056,0,8.6250000000e+00,8.5000000000e+00,8.7500000000e+00,1.7413384593e+00,1.4627583935e+00,2.1013114386e+00,69338,274078,1595144,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_soft,0056,0,8.8750000000e+00,8.7500000000e+00,9.0000000000e+00,1.7224090737e+00,1.4601158017e+00,2.0617889634e+00,42209,274078,1595144,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_soft,0056,0,9.1250000000e+00,9.0000000000e+00,9.2500000000e+00,1.6821880953e+00,1.4400701620e+00,2.0000097452e+00,25842,274078,1595144,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_soft,0056,0,9.3750000000e+00,9.2500000000e+00,9.5000000000e+00,1.6350784788e+00,1.4054635629e+00,1.9303107689e+00,15427,274078,1595144,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_soft,0056,0,9.6250000000e+00,9.5000000000e+00,9.7500000000e+00,1.5843139191e+00,1.3654593584e+00,1.8688901633e+00,9332,274078,1595144,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
