model,snapshot,redshift,log10_M200c_center_Msun,log10_M200c_left_Msun,log10_M200c_right_Msun,log10_c200c_median,log10_c200c_p16,log10_c200c_p84,n_halos_bin,n_valid_snapshot,n_total_snapshot,source_file
PL,0048,1.07179686,1.2125000000e+01,1.2000000000e+01,1.2250000000e+01,7.0430264975e-01,4.2540959936e-01,8.9319005359e-01,41,229344,1261589,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.07179686,1.2375000000e+01,1.2250000000e+01,1.2500000000e+01,7.2606895778e-01,5.8800284588e-01,8.2921386074e-01,23,229344,1261589,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.07179686,1.2625000000e+01,1.2500000000e+01,1.2750000000e+01,6.4107635844e-01,5.4034052000e-01,8.1352339369e-01,12,229344,1261589,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.07179686,1.2875000000e+01,1.2750000000e+01,1.3000000000e+01,5.8703200869e-01,4.7504518166e-01,7.4109129076e-01,9,229344,1261589,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.07179686,1.3125000000e+01,1.3000000000e+01,1.3250000000e+01,6.7615669232e-01,6.2328210430e-01,7.2903128033e-01,2,229344,1261589,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.07179686,1.3375000000e+01,1.3250000000e+01,1.3500000000e+01,5.9320611217e-01,5.9320611217e-01,5.9320611217e-01,1,229344,1261589,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_soft,0048,1.07179686,8.3750000000e+00,8.2500000000e+00,8.5000000000e+00,1.4605475814e+00,1.1875849294e+00,1.7410620375e+00,139351,380007,1990410,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_soft,0048,1.07179686,8.6250000000e+00,8.5000000000e+00,8.7500000000e+00,1.4421509627e+00,1.1894244144e+00,1.6990336276e+00,96880,380007,1990410,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_soft,0048,1.07179686,8.8750000000e+00,8.7500000000e+00,9.0000000000e+00,1.4153575647e+00,1.1808486012e+00,1.6492782018e+00,58207,380007,1990410,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_soft,0048,1.07179686,9.1250000000e+00,9.0000000000e+00,9.2500000000e+00,1.3788646563e+00,1.1579779071e+00,1.5893407142e+00,34884,380007,1990410,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_soft,0048,1.07179686,9.3750000000e+00,9.2500000000e+00,9.5000000000e+00,1.3351049831e+00,1.1205821933e+00,1.5294468171e+00,20850,380007,1990410,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_soft,0048,1.07179686,9.6250000000e+00,9.5000000000e+00,9.7500000000e+00,1.2914151238e+00,1.0807654938e+00,1.4707341283e+00,12283,380007,1990410,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_soft,0048,1.07179686,9.8750000000e+00,9.7500000000e+00,1.0000000000e+01,1.2506215400e+00,1.0377180110e+00,1.4200287192e+00,7304,380007,1990410,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_soft,0048,1.07179686,1.0125000000e+01,1.0000000000e+01,1.0250000000e+01,1.2038682785e+00,9.9922678367e-01,1.3619394474e+00,4258,380007,1990410,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_soft,0048,1.07179686,1.0375000000e+01,1.0250000000e+01,1.0500000000e+01,1.1571895403e+00,9.5957828988e-01,1.3119363586e+00,2496,380007,1990410,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_soft,0048,1.07179686,1.0625000000e+01,1.0500000000e+01,1.0750000000e+01,1.1083437440e+00,9.0441766673e-01,1.2537691059e+00,1502,380007,1990410,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_soft,0048,1.07179686,1.0875000000e+01,1.0750000000e+01,1.1000000000e+01,1.0567456719e+00,8.3284679941e-01,1.2085522741e+00,864,380007,1990410,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_soft,0048,1.07179686,1.1125000000e+01,1.1000000000e+01,1.1250000000e+01,1.0210246720e+00,8.4177517176e-01,1.1645199911e+00,488,380007,1990410,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_soft,0048,1.07179686,1.1375000000e+01,1.1250000000e+01,1.1500000000e+01,9.6182243699e-01,7.8808619816e-01,1.1050249964e+00,279,380007,1990410,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_soft,0048,1.07179686,1.1625000000e+01,1.1500000000e+01,1.1750000000e+01,9.1667624114e-01,6.7267455229e-01,1.0682364965e+00,163,380007,1990410,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_soft,0048,1.07179686,1.1875000000e+01,1.1750000000e+01,1.2000000000e+01,8.4572252735e-01,6.3992106575e-01,1.0151621152e+00,94,380007,1990410,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_soft,0048,1.07179686,1.2125000000e+01,1.2000000000e+01,1.2250000000e+01,7.8287235264e-01,5.4998220155e-01,9.8513278009e-01,50,380007,1990410,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_soft,0048,1.07179686,1.2375000000e+01,1.2250000000e+01,1.2500000000e+01,8.1857757501e-01,6.4995925776e-01,9.7841952271e-01,27,380007,1990410,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_soft,0048,1.07179686,1.2625000000e+01,1.2500000000e+01,1.2750000000e+01,7.7142614954e-01,6.0919945841e-01,9.4364398865e-01,15,380007,1990410,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_soft,0048,1.07179686,1.2875000000e+01,1.2750000000e+01,1.3000000000e+01,6.4849595095e-01,4.9174511187e-01,8.5968315140e-01,9,380007,1990410,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_soft,0048,1.07179686,1.3125000000e+01,1.3000000000e+01,1.3250000000e+01,6.5667530704e-01,5.9120709286e-01,7.1848209669e-01,3,380007,1990410,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_deep,0048,1.07179686,8.3750000000e+00,8.2500000000e+00,8.5000000000e+00,1.0890097957e+00,8.3998988233e-01,1.3125363313e+00,135804,339832,2069283,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_deep,0048,1.07179686,8.6250000000e+00,8.5000000000e+00,8.7500000000e+00,1.0804103656e+00,8.4917016681e-01,1.2813961219e+00,89775,339832,2069283,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_deep,0048,1.07179686,8.8750000000e+00,8.7500000000e+00,9.0000000000e+00,1.0606827316e+00,8.3984568669e-01,1.2416303734e+00,50790,339832,2069283,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_deep,0048,1.07179686,9.1250000000e+00,9.0000000000e+00,9.2500000000e+00,1.0358933824e+00,8.2294025268e-01,1.2059715961e+00,28147,339832,2069283,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_deep,0048,1.07179686,9.3750000000e+00,9.2500000000e+00,9.5000000000e+00,1.0020312046e+00,7.8811616161e-01,1.1613844661e+00,15456,339832,2069283,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_deep,0048,1.07179686,9.6250000000e+00,9.5000000000e+00,9.7500000000e+00,9.6915456010e-01,7.5389888085e-01,1.1236587643e+00,8669,339832,2069283,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_deep,0048,1.07179686,9.8750000000e+00,9.7500000000e+00,1.0000000000e+01,9.4204890064e-01,7.1954975029e-01,1.0939688763e+00,4769,339832,2069283,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_deep,0048,1.07179686,1.0125000000e+01,1.0000000000e+01,1.0250000000e+01,9.0061668493e-01,6.9306943763e-01,1.0479531834e+00,2728,339832,2069283,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_deep,0048,1.07179686,1.0375000000e+01,1.0250000000e+01,1.0500000000e+01,8.5688731770e-01,6.3856056944e-01,1.0141262489e+00,1568,339832,2069283,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_deep,0048,1.07179686,1.0625000000e+01,1.0500000000e+01,1.0750000000e+01,8.5200228995e-01,6.3026554010e-01,9.9289324053e-01,850,339832,2069283,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_deep,0048,1.07179686,1.0875000000e+01,1.0750000000e+01,1.1000000000e+01,8.0321105697e-01,6.1413957492e-01,9.5187857469e-01,529,339832,2069283,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_deep,0048,1.07179686,1.1125000000e+01,1.1000000000e+01,1.1250000000e+01,8.0149972844e-01,5.7230870112e-01,9.2339029136e-01,316,339832,2069283,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_deep,0048,1.07179686,1.1375000000e+01,1.1250000000e+01,1.1500000000e+01,7.9217753892e-01,6.1470955832e-01,9.1589535986e-01,184,339832,2069283,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_deep,0048,1.07179686,1.1625000000e+01,1.1500000000e+01,1.1750000000e+01,7.3971624546e-01,5.6457588362e-01,8.6714763194e-01,97,339832,2069283,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_deep,0048,1.07179686,1.1875000000e+01,1.1750000000e+01,1.2000000000e+01,6.8828155754e-01,4.6262065431e-01,8.9164636900e-01,64,339832,2069283,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_deep,0048,1.07179686,1.2125000000e+01,1.2000000000e+01,1.2250000000e+01,6.9615690292e-01,4.4010834653e-01,9.2827362419e-01,40,339832,2069283,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_deep,0048,1.07179686,1.2375000000e+01,1.2250000000e+01,1.2500000000e+01,7.2856337587e-01,5.7332016658e-01,8.2717160467e-01,22,339832,2069283,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_deep,0048,1.07179686,1.2625000000e+01,1.2500000000e+01,1.2750000000e+01,6.6678587360e-01,5.3660171755e-01,8.1121133233e-01,12,339832,2069283,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_deep,0048,1.07179686,1.2875000000e+01,1.2750000000e+01,1.3000000000e+01,5.9133916106e-01,4.6982728659e-01,7.3050742285e-01,9,339832,2069283,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_deep,0048,1.07179686,1.3125000000e+01,1.3000000000e+01,1.3250000000e+01,6.7872301386e-01,6.2290090363e-01,7.3454512410e-01,2,339832,2069283,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BT_deep,0048,1.07179686,1.3375000000e+01,1.3250000000e+01,1.3500000000e+01,5.8112915532e-01,5.8112915532e-01,5.8112915532e-01,1,339832,2069283,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0040,3.441080566,8.3750000000e+00,8.2500000000e+00,8.5000000000e+00,5.0423372345e-01,2.6271262497e-01,7.0464796601e-01,89571,235128,1471021,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.441080566,8.6250000000e+00,8.5000000000e+00,8.7500000000e+00,5.3588855533e-01,3.1300167659e-01,7.1467151192e-01,61292,235128,1471021,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.441080566,8.8750000000e+00,8.7500000000e+00,9.0000000000e+00,5.5504824464e-01,3.4184078856e-01,7.2050734743e-01,36386,235128,1471021,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.441080566,9.1250000000e+00,9.0000000000e+00,9.2500000000e+00,5.6457475037e-01,3.6273968453e-01,7.1877711237e-01,20740,235128,1471021,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.441080566,9.3750000000e+00,9.2500000000e+00,9.5000000000e+00,5.6347586078e-01,3.6260424660e-01,7.1947607007e-01,11796,235128,1471021,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.441080566,9.6250000000e+00,9.5000000000e+00,9.7500000000e+00,5.5622692442e-01,3.5441018095e-01,7.1791852192e-01,6921,235128,1471021,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.441080566,9.8750000000e+00,9.7500000000e+00,1.0000000000e+01,5.5800741097e-01,3.5493663030e-01,7.0958490091e-01,3811,235128,1471021,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.441080566,1.0125000000e+01,1.0000000000e+01,1.0250000000e+01,5.4527283531e-01,3.5303854640e-01,7.0062157780e-01,2073,235128,1471021,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.441080566,1.0375000000e+01,1.0250000000e+01,1.0500000000e+01,5.3987483549e-01,3.5365971290e-01,6.9380921084e-01,1200,235128,1471021,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.441080566,1.0625000000e+01,1.0500000000e+01,1.0750000000e+01,5.2411149586e-01,3.4729056848e-01,6.6992127672e-01,687,235128,1471021,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.441080566,1.0875000000e+01,1.0750000000e+01,1.1000000000e+01,5.2813789344e-01,3.1902284309e-01,6.8862011611e-01,308,235128,1471021,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.441080566,1.1125000000e+01,1.1000000000e+01,1.1250000000e+01,5.1936291606e-01,3.2349815978e-01,6.7650133281e-01,171,235128,1471021,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.441080566,1.1375000000e+01,1.1250000000e+01,1.1500000000e+01,5.1064215290e-01,3.5433661535e-01,6.5613777873e-01,95,235128,1471021,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.441080566,1.1625000000e+01,1.1500000000e+01,1.1750000000e+01,5.4720564627e-01,3.9321093685e-01,6.8968696514e-01,44,235128,1471021,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.441080566,1.1875000000e+01,1.1750000000e+01,1.2000000000e+01,5.7601694504e-01,4.1110417521e-01,6.6755954746e-01,23,235128,1471021,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.441080566,1.2125000000e+01,1.2000000000e+01,1.2250000000e+01,5.0706542331e-01,4.3680536326e-01,5.8194824038e-01,10,235128,1471021,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BT_soft,0040,3.441080566,8.3750000000e+00,8.2500000000e+00,8.5000000000e+00,1.0212246603e+00,7.7206848346e-01,1.2252343983e+00,184512,485623,2677445,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BT_soft,0040,3.441080566,8.6250000000e+00,8.5000000000e+00,8.7500000000e+00,1.0135872878e+00,7.8161589627e-01,1.1941126987e+00,125437,485623,2677445,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BT_soft,0040,3.441080566,8.8750000000e+00,8.7500000000e+00,9.0000000000e+00,9.9327916862e-01,7.6970652714e-01,1.1604412056e+00,74430,485623,2677445,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BT_soft,0040,3.441080566,9.1250000000e+00,9.0000000000e+00,9.2500000000e+00,9.7108095833e-01,7.5130631779e-01,1.1271435820e+00,43592,485623,2677445,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BT_soft,0040,3.441080566,9.3750000000e+00,9.2500000000e+00,9.5000000000e+00,9.3927695427e-01,7.1738391963e-01,1.0897321065e+00,25001,485623,2677445,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BT_soft,0040,3.441080566,9.6250000000e+00,9.5000000000e+00,9.7500000000e+00,9.0386246169e-01,6.8795110846e-01,1.0542748154e+00,14573,485623,2677445,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BT_soft,0040,3.441080566,9.8750000000e+00,9.7500000000e+00,1.0000000000e+01,8.6726585392e-01,6.4690482493e-01,1.0162937885e+00,8121,485623,2677445,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BT_soft,0040,3.441080566,1.0125000000e+01,1.0000000000e+01,1.0250000000e+01,8.3110852269e-01,6.2727097791e-01,9.8235813907e-01,4607,485623,2677445,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BT_soft,0040,3.441080566,1.0375000000e+01,1.0250000000e+01,1.0500000000e+01,7.9063789453e-01,5.8431067224e-01,9.4562791816e-01,2592,485623,2677445,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BT_soft,0040,3.441080566,1.0625000000e+01,1.0500000000e+01,1.0750000000e+01,7.5044285328e-01,5.3095379516e-01,9.1467949739e-01,1398,485623,2677445,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BT_soft,0040,3.441080566,1.0875000000e+01,1.0750000000e+01,1.1000000000e+01,7.1917968020e-01,5.1425928687e-01,8.7609552383e-01,707,485623,2677445,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BT_soft,0040,3.441080566,1.1125000000e+01,1.1000000000e+01,1.1250000000e+01,6.6339188026e-01,4.5596997288e-01,8.3944754220e-01,368,485623,2677445,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BT_soft,0040,3.441080566,1.1375000000e+01,1.1250000000e+01,1.1500000000e+01,6.5341563561e-01,4.0069898652e-01,8.2237942092e-01,158,485623,2677445,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BT_soft,0040,3.441080566,1.1625000000e+01,1.1500000000e+01,1.1750000000e+01,6.0621067794e-01,3.7417605392e-01,7.6490221702e-01,76,485623,2677445,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BT_soft,0040,3.441080566,1.1875000000e+01,1.1750000000e+01,1.2000000000e+01,6.4158931539e-01,4.1483580559e-01,7.7201869671e-01,36,485623,2677445,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BT_soft,0040,3.441080566,1.2125000000e+01,1.2000000000e+01,1.2250000000e+01,6.8867093834e-01,4.2044757124e-01,7.5530834363e-01,13,485623,2677445,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BT_soft,0040,3.441080566,1.2375000000e+01,1.2250000000e+01,1.2500000000e+01,6.4120604241e-01,5.7166719554e-01,7.1074488928e-01,2,485623,2677445,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BT_deep,0040,3.441080566,8.3750000000e+00,8.2500000000e+00,8.5000000000e+00,6.8361093712e-01,4.2834328442e-01,8.8584096924e-01,150058,357763,2524937,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
