model,snapshot,redshift,log10_M200c_center_Msun,log10_c200c_p16,log10_c200c_p84,sigma_68_log10_c,n_halos_bin,source_file
PL,0056,0.0000000000e+00,1.3125000000e+01,6.1582412195e-01,8.2502626146e-01,1.0460106975e-01,14,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0056,0.0000000000e+00,1.3375000000e+01,6.3210931916e-01,8.3413996121e-01,1.0101532102e-01,3,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP1,0056,0.0000000000e+00,8.3750000000e+00,1.4605637794e+00,2.1215262991e+00,3.3048125985e-01,98169,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP1,0056,0.0000000000e+00,8.6250000000e+00,1.4627583935e+00,2.1013114386e+00,3.1927652255e-01,69338,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP1,0056,0.0000000000e+00,8.8750000000e+00,1.4601158017e+00,2.0617889634e+00,3.0083658085e-01,42209,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP1,0056,0.0000000000e+00,9.1250000000e+00,1.4400701620e+00,2.0000097452e+00,2.7996979160e-01,25842,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP1,0056,0.0000000000e+00,9.3750000000e+00,1.4054635629e+00,1.9303107689e+00,2.6242360300e-01,15427,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP1,0056,0.0000000000e+00,9.6250000000e+00,1.3654593584e+00,1.8688901633e+00,2.5171540245e-01,9332,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP1,0056,0.0000000000e+00,9.8750000000e+00,1.3432243813e+00,1.8024865069e+00,2.2963106280e-01,5696,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP1,0056,0.0000000000e+00,1.0125000000e+01,1.2857494829e+00,1.7312728138e+00,2.2276166545e-01,3283,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
