model,snapshot,redshift,log10_M200c_center_Msun,log10_c200c_p16,log10_c200c_p84,sigma_68_log10_c,n_halos_bin,source_file
BTKP1,0048,1.0717968600e+00,9.6250000000e+00,1.0807654938e+00,1.4707341283e+00,1.9498431725e-01,12283,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP1,0048,1.0717968600e+00,9.8750000000e+00,1.0377180110e+00,1.4200287192e+00,1.9115535410e-01,7304,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP1,0048,1.0717968600e+00,1.0125000000e+01,9.9922678367e-01,1.3619394474e+00,1.8135633186e-01,4258,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP1,0048,1.0717968600e+00,1.0375000000e+01,9.5957828988e-01,1.3119363586e+00,1.7617903436e-01,2496,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP1,0048,1.0717968600e+00,1.0625000000e+01,9.0441766673e-01,1.2537691059e+00,1.7467571958e-01,1502,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP1,0048,1.0717968600e+00,1.0875000000e+01,8.3284679941e-01,1.2085522741e+00,1.8785273735e-01,864,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP1,0048,1.0717968600e+00,1.1125000000e+01,8.4177517176e-01,1.1645199911e+00,1.6137240967e-01,488,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP1,0048,1.0717968600e+00,1.1375000000e+01,7.8808619816e-01,1.1050249964e+00,1.5846939912e-01,279,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP1,0048,1.0717968600e+00,1.1625000000e+01,6.7267455229e-01,1.0682364965e+00,1.9778097211e-01,163,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP1,0048,1.0717968600e+00,1.1875000000e+01,6.3992106575e-01,1.0151621152e+00,1.8762052473e-01,94,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP1,0048,1.0717968600e+00,1.2125000000e+01,5.4998220155e-01,9.8513278009e-01,2.1757528927e-01,50,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP1,0048,1.0717968600e+00,1.2375000000e+01,6.4995925776e-01,9.7841952271e-01,1.6423013248e-01,27,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP1,0048,1.0717968600e+00,1.2625000000e+01,6.0919945841e-01,9.4364398865e-01,1.6722226512e-01,15,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP1,0048,1.0717968600e+00,1.2875000000e+01,4.9174511187e-01,8.5968315140e-01,1.8396901976e-01,9,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP1,0048,1.0717968600e+00,1.3125000000e+01,5.9120709286e-01,7.1848209669e-01,6.3637501915e-02,3,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP10,0048,1.0717968600e+00,8.3750000000e+00,8.3998988233e-01,1.3125363313e+00,2.3627322448e-01,135804,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP10,0048,1.0717968600e+00,8.6250000000e+00,8.4917016681e-01,1.2813961219e+00,2.1611297755e-01,89775,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP10,0048,1.0717968600e+00,8.8750000000e+00,8.3984568669e-01,1.2416303734e+00,2.0089234336e-01,50790,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP10,0048,1.0717968600e+00,9.1250000000e+00,8.2294025268e-01,1.2059715961e+00,1.9151567171e-01,28147,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP10,0048,1.0717968600e+00,9.3750000000e+00,7.8811616161e-01,1.1613844661e+00,1.8663415224e-01,15456,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP10,0048,1.0717968600e+00,9.6250000000e+00,7.5389888085e-01,1.1236587643e+00,1.8487994172e-01,8669,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP10,0048,1.0717968600e+00,9.8750000000e+00,7.1954975029e-01,1.0939688763e+00,1.8720956300e-01,4769,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP10,0048,1.0717968600e+00,1.0125000000e+01,6.9306943763e-01,1.0479531834e+00,1.7744187289e-01,2728,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP10,0048,1.0717968600e+00,1.0375000000e+01,6.3856056944e-01,1.0141262489e+00,1.8778283973e-01,1568,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP10,0048,1.0717968600e+00,1.0625000000e+01,6.3026554010e-01,9.9289324053e-01,1.8131385022e-01,850,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP10,0048,1.0717968600e+00,1.0875000000e+01,6.1413957492e-01,9.5187857469e-01,1.6886949988e-01,529,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP10,0048,1.0717968600e+00,1.1125000000e+01,5.7230870112e-01,9.2339029136e-01,1.7554079512e-01,316,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP10,0048,1.0717968600e+00,1.1375000000e+01,6.1470955832e-01,9.1589535986e-01,1.5059290077e-01,184,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP10,0048,1.0717968600e+00,1.1625000000e+01,5.6457588362e-01,8.6714763194e-01,1.5128587416e-01,97,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP10,0048,1.0717968600e+00,1.1875000000e+01,4.6262065431e-01,8.9164636900e-01,2.1451285735e-01,64,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP10,0048,1.0717968600e+00,1.2125000000e+01,4.4010834653e-01,9.2827362419e-01,2.4408263883e-01,40,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP10,0048,1.0717968600e+00,1.2375000000e+01,5.7332016658e-01,8.2717160467e-01,1.2692571904e-01,22,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP10,0048,1.0717968600e+00,1.2625000000e+01,5.3660171755e-01,8.1121133233e-01,1.3730480739e-01,12,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP10,0048,1.0717968600e+00,1.2875000000e+01,4.6982728659e-01,7.3050742285e-01,1.3034006813e-01,9,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP10,0048,1.0717968600e+00,1.3125000000e+01,6.2290090363e-01,7.3454512410e-01,5.5822110235e-02,2,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
BTKP10,0048,1.0717968600e+00,1.3375000000e+01,5.8112915532e-01,5.8112915532e-01,0.0000000000e+00,1,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0040,3.4410805660e+00,8.3750000000e+00,2.6271262497e-01,7.0464796601e-01,2.2096767052e-01,89571,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.4410805660e+00,8.6250000000e+00,3.1300167659e-01,7.1467151192e-01,2.0083491767e-01,61292,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.4410805660e+00,8.8750000000e+00,3.4184078856e-01,7.2050734743e-01,1.8933327944e-01,36386,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.4410805660e+00,9.1250000000e+00,3.6273968453e-01,7.1877711237e-01,1.7801871392e-01,20740,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.4410805660e+00,9.3750000000e+00,3.6260424660e-01,7.1947607007e-01,1.7843591174e-01,11796,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.4410805660e+00,9.6250000000e+00,3.5441018095e-01,7.1791852192e-01,1.8175417049e-01,6921,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.4410805660e+00,9.8750000000e+00,3.5493663030e-01,7.0958490091e-01,1.7732413531e-01,3811,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.4410805660e+00,1.0125000000e+01,3.5303854640e-01,7.0062157780e-01,1.7379151570e-01,2073,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.4410805660e+00,1.0375000000e+01,3.5365971290e-01,6.9380921084e-01,1.7007474897e-01,1200,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.4410805660e+00,1.0625000000e+01,3.4729056848e-01,6.6992127672e-01,1.6131535412e-01,687,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.4410805660e+00,1.0875000000e+01,3.1902284309e-01,6.8862011611e-01,1.8479863651e-01,308,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.4410805660e+00,1.1125000000e+01,3.2349815978e-01,6.7650133281e-01,1.7650158652e-01,171,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.4410805660e+00,1.1375000000e+01,3.5433661535e-01,6.5613777873e-01,1.5090058169e-01,95,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.4410805660e+00,1.1625000000e+01,3.9321093685e-01,6.8968696514e-01,1.4823801415e-01,44,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.4410805660e+00,1.1875000000e+01,4.1110417521e-01,6.6755954746e-01,1.2822768613e-01,23,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0040,3.4410805660e+00,1.2125000000e+01,4.3680536326e-01,5.8194824038e-01,7.2571438560e-02,10,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP1,0040,3.4410805660e+00,8.3750000000e+00,7.7206848346e-01,1.2252343983e+00,2.2658295742e-01,184512,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP1,0040,3.4410805660e+00,8.6250000000e+00,7.8161589627e-01,1.1941126987e+00,2.0624840121e-01,125437,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP1,0040,3.4410805660e+00,8.8750000000e+00,7.6970652714e-01,1.1604412056e+00,1.9536733923e-01,74430,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP1,0040,3.4410805660e+00,9.1250000000e+00,7.5130631779e-01,1.1271435820e+00,1.8791863210e-01,43592,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP1,0040,3.4410805660e+00,9.3750000000e+00,7.1738391963e-01,1.0897321065e+00,1.8617409344e-01,25001,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP1,0040,3.4410805660e+00,9.6250000000e+00,6.8795110846e-01,1.0542748154e+00,1.8316185347e-01,14573,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP1,0040,3.4410805660e+00,9.8750000000e+00,6.4690482493e-01,1.0162937885e+00,1.8469448179e-01,8121,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP1,0040,3.4410805660e+00,1.0125000000e+01,6.2727097791e-01,9.8235813907e-01,1.7754358058e-01,4607,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP1,0040,3.4410805660e+00,1.0375000000e+01,5.8431067224e-01,9.4562791816e-01,1.8065862296e-01,2592,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP1,0040,3.4410805660e+00,1.0625000000e+01,5.3095379516e-01,9.1467949739e-01,1.9186285112e-01,1398,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP1,0040,3.4410805660e+00,1.0875000000e+01,5.1425928687e-01,8.7609552383e-01,1.8091811848e-01,707,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP1,0040,3.4410805660e+00,1.1125000000e+01,4.5596997288e-01,8.3944754220e-01,1.9173878466e-01,368,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP1,0040,3.4410805660e+00,1.1375000000e+01,4.0069898652e-01,8.2237942092e-01,2.1084021720e-01,158,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP1,0040,3.4410805660e+00,1.1625000000e+01,3.7417605392e-01,7.6490221702e-01,1.9536308155e-01,76,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP1,0040,3.4410805660e+00,1.1875000000e+01,4.1483580559e-01,7.7201869671e-01,1.7859144556e-01,36,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP1,0040,3.4410805660e+00,1.2125000000e+01,4.2044757124e-01,7.5530834363e-01,1.6743038620e-01,13,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP1,0040,3.4410805660e+00,1.2375000000e+01,5.7166719554e-01,7.1074488928e-01,6.9538846870e-02,2,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_1_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP10,0040,3.4410805660e+00,8.3750000000e+00,4.2834328442e-01,8.8584096924e-01,2.2874884241e-01,150058,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP10,0040,3.4410805660e+00,8.6250000000e+00,4.4809749605e-01,8.7076184092e-01,2.1133217243e-01,96030,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP10,0040,3.4410805660e+00,8.8750000000e+00,4.4880305371e-01,8.5321224323e-01,2.0220459476e-01,52214,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP10,0040,3.4410805660e+00,9.1250000000e+00,4.4181955919e-01,8.2790120453e-01,1.9304082267e-01,27956,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP10,0040,3.4410805660e+00,9.3750000000e+00,4.1654195104e-01,8.0626935106e-01,1.9486370001e-01,14747,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP10,0040,3.4410805660e+00,9.6250000000e+00,3.9201339723e-01,7.8045188384e-01,1.9421924330e-01,7982,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP10,0040,3.4410805660e+00,9.8750000000e+00,3.7129177431e-01,7.5130419887e-01,1.9000621228e-01,4117,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP10,0040,3.4410805660e+00,1.0125000000e+01,3.6126369774e-01,7.3038842009e-01,1.8456236118e-01,2132,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP10,0040,3.4410805660e+00,1.0375000000e+01,3.6216422559e-01,7.1551262980e-01,1.7667420210e-01,1195,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP10,0040,3.4410805660e+00,1.0625000000e+01,3.3989372540e-01,6.7624522985e-01,1.6817575223e-01,689,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP10,0040,3.4410805660e+00,1.0875000000e+01,3.2320089472e-01,6.8960756191e-01,1.8320333360e-01,302,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP10,0040,3.4410805660e+00,1.1125000000e+01,3.4080111366e-01,6.6361402604e-01,1.6140645619e-01,169,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP10,0040,3.4410805660e+00,1.1375000000e+01,3.9499256033e-01,6.7676054729e-01,1.4088399348e-01,94,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP10,0040,3.4410805660e+00,1.1625000000e+01,3.6810750908e-01,6.7103828064e-01,1.5146538578e-01,45,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP10,0040,3.4410805660e+00,1.1875000000e+01,4.1615451149e-01,6.6157990492e-01,1.2271269671e-01,23,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
BTKP10,0040,3.4410805660e+00,1.2125000000e+01,4.2935822493e-01,5.7169622874e-01,7.1169001905e-02,10,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0040.hdf5
PL,0032,8.5198506050e+00,8.3750000000e+00,5.7889805503e-02,5.2170415678e-01,2.3190717564e-01,37063,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
PL,0032,8.5198506050e+00,8.6250000000e+00,1.2080968818e-01,5.4466275313e-01,2.1192653248e-01,22311,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
PL,0032,8.5198506050e+00,8.8750000000e+00,1.6069521568e-01,5.6521655495e-01,2.0226066964e-01,11331,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
PL,0032,8.5198506050e+00,9.1250000000e+00,1.9752723147e-01,5.8291499485e-01,1.9269388169e-01,5476,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0032.hdf5
