model,snapshot,redshift,theory_model,selection,n_bins,log10_mass_center_min_msun,log10_mass_center_max_msun,median_sim_over_theory,median_abs_fraction,max_abs_fraction
BTKP10,0040,3.4410805660e+00,ishiyama21_fit,strict_1000_particle_full_bins,10,9.625000,11.875000,1.0355403564e+00,3.5540356450e-02,1.9756802210e-01
BTKP10,0040,3.4410805660e+00,ishiyama21_fit,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,1.0149263560e+00,1.4926355950e-02,2.1308442200e-02
BTKP10,0040,3.4410805660e+00,ludlow16,strict_1000_particle_full_bins,10,9.625000,11.875000,7.8453085379e-01,2.1546914621e-01,2.7217530542e-01
BTKP10,0040,3.4410805660e+00,ludlow16,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,7.2168887553e-01,2.7831112447e-01,2.8205414872e-01
BTKP10,0048,1.0717968600e+00,diemer19,strict_1000_particle_full_bins,12,9.625000,12.375000,9.4090454322e-01,7.3020845185e-02,1.6225034720e-01
BTKP10,0048,1.0717968600e+00,diemer19,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,8.6443433154e-01,1.3556566847e-01,1.4118725945e-01
BTKP10,0048,1.0717968600e+00,ishiyama21_fit,strict_1000_particle_full_bins,12,9.625000,12.375000,1.0707801274e+00,7.0780127400e-02,1.6123869470e-01
BTKP10,0048,1.0717968600e+00,ishiyama21_fit,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,1.0654791429e+00,6.5479142850e-02,7.0296068100e-02
BTKP10,0048,1.0717968600e+00,ludlow16,strict_1000_particle_full_bins,12,9.625000,12.375000,8.5253238151e-01,1.4746761849e-01,2.0289800378e-01
BTKP10,0048,1.0717968600e+00,ludlow16,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,8.4781777234e-01,1.5218222766e-01,1.5225549657e-01
BTKP10,0056,0.0000000000e+00,diemer19,strict_1000_particle_full_bins,11,9.625000,12.125000,9.3188867729e-01,6.8111322710e-02,9.3792301250e-02
BTKP10,0056,0.0000000000e+00,diemer19,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,9.1210061976e-01,8.7899380240e-02,9.1002936810e-02
BTKP10,0056,0.0000000000e+00,ishiyama21_fit,strict_1000_particle_full_bins,11,9.625000,12.125000,1.0553469738e+00,6.6331404900e-02,1.2869472710e-01
BTKP10,0056,0.0000000000e+00,ishiyama21_fit,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,1.1238535809e+00,1.2385358090e-01,1.2551481090e-01
BTKP10,0056,0.0000000000e+00,ludlow16,strict_1000_particle_full_bins,11,9.625000,12.125000,9.9566055378e-01,1.2815332780e-02,1.0567696289e-01
BTKP10,0056,0.0000000000e+00,ludlow16,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,1.0300166394e+00,3.0016639450e-02,3.2143609900e-02
PL,0032,8.5198506050e+00,diemer19,strict_1000_particle_full_bins,5,9.625000,10.625000,9.1780157525e-01,8.2198424750e-02,1.1595442976e-01
PL,0032,8.5198506050e+00,diemer19,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,8.7531014383e-01,1.2468985617e-01,1.3897011298e-01
PL,0032,8.5198506050e+00,ishiyama21_fit,strict_1000_particle_full_bins,5,9.625000,10.625000,9.7721169328e-01,3.9651670780e-02,1.3724737880e-01
PL,0032,8.5198506050e+00,ishiyama21_fit,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,9.3411143058e-01,6.5888569425e-02,8.0496017060e-02
PL,0032,8.5198506050e+00,ludlow16,strict_1000_particle_full_bins,5,9.625000,10.625000,1.0253801028e+00,5.7077084110e-02,3.1948858050e-01
PL,0032,8.5198506050e+00,ludlow16,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,8.6015196683e-01,1.3984803316e-01,1.6549835223e-01
PL,0040,3.4410805660e+00,diemer19,strict_1000_particle_full_bins,10,9.625000,11.875000,9.7027958587e-01,5.0507748685e-02,1.5412778220e-01
PL,0040,3.4410805660e+00,diemer19,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,8.8830900678e-01,1.1169099322e-01,1.2484010042e-01
PL,0040,3.4410805660e+00,ishiyama21_fit,strict_1000_particle_full_bins,10,9.625000,11.875000,1.0122834762e+00,2.2035617300e-02,1.9813939990e-01
PL,0040,3.4410805660e+00,ishiyama21_fit,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,9.2768773532e-01,7.2312264675e-02,8.6260620930e-02
PL,0040,3.4410805660e+00,ludlow16,strict_1000_particle_full_bins,10,9.625000,11.875000,8.2066363452e-01,1.7933636548e-01,2.3002965946e-01
PL,0040,3.4410805660e+00,ludlow16,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,7.5307229925e-01,2.4692770075e-01,2.5591706418e-01
PL,0048,1.0717968600e+00,diemer19,strict_1000_particle_full_bins,12,9.625000,12.375000,9.8896819576e-01,2.6191709900e-02,1.3942163830e-01
PL,0048,1.0717968600e+00,diemer19,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,9.2001272454e-01,7.9987275460e-02,8.5577315050e-02
PL,0048,1.0717968600e+00,ishiyama21_fit,strict_1000_particle_full_bins,12,9.625000,12.375000,1.0107514912e+00,1.9799866460e-02,1.5768530670e-01
PL,0048,1.0717968600e+00,ishiyama21_fit,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,9.4265320748e-01,5.7346792520e-02,6.2980804190e-02
PL,0048,1.0717968600e+00,ludlow16,strict_1000_particle_full_bins,12,9.625000,12.375000,8.8630210077e-01,1.1369789923e-01,2.1213113232e-01
PL,0048,1.0717968600e+00,ludlow16,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,8.7537840784e-01,1.2462159216e-01,1.2493976084e-01
PL,0056,0.0000000000e+00,diemer19,strict_1000_particle_full_bins,11,9.625000,12.125000,9.8472397653e-01,1.9903925900e-02,7.6521678850e-02
PL,0056,0.0000000000e+00,diemer19,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,9.4244025439e-01,5.7559745615e-02,6.5740174350e-02
PL,0056,0.0000000000e+00,ishiyama21_fit,strict_1000_particle_full_bins,11,9.625000,12.125000,9.9993210034e-01,7.5128151000e-03,7.3065997600e-02
PL,0056,0.0000000000e+00,ishiyama21_fit,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,9.6106025982e-01,3.8939740175e-02,4.6952467220e-02
PL,0056,0.0000000000e+00,ludlow16,strict_1000_particle_full_bins,11,9.625000,12.125000,1.0331587919e+00,3.7242102600e-02,1.0713926098e-01
PL,0056,0.0000000000e+00,ludlow16,quoted_1e9_to_1e9p5_centers,2,9.125000,9.375000,1.0363306932e+00,3.6330693150e-02,4.0388084200e-02
